28006, PHOTALINE LASER 14 DEVELOPER REPLENISHER CONCENTRATE;POTASSIUM HYDROXIDE, POTASSIUM SULFITE, POTASSIUM CARBONATE, HYDROQUINONE, WATER; STRONG ACIDS, STRONG BASES;KEEP AWAY FROM STRONG ACIDS;Respiratory Protection:SHOULD NOT BE NECESSARY UNDER NORMAL CONDITIONS. IF EXPOSED TO VAPORS THAT EXCEED TLV OR PEL, WEAR APPROVED VAPOR RESPIRATOR. Ventilation:NOT PROVIDED Protective Gloves:IMPERVIOUS Eye Protection:PROTECTIVE GOGGLES. Other Protective Equipment:AS NECESSARY TO PREVENT SKIN CONTACT. EYEWASH FACILITIES IN VICINITY OF USE. Work Hygienic Practices:NOT PROVIDED Supplemental Safety and Health ABBREVIATION: N/A;
LIQUITREAT AL SERIES.;MEXTURE OF WATER,POLYOXYETHYLENE GLYCOL,SODIUM; TO S KWLEDGE;;Respiratory Protection:NOT REQUIRED UNDER NORMAL CONDITIONS Protective Gloves:RUBBER Eye Protection:FACE SHIELD OR GOGGLES Supplemental Safety and Health ITEM HAS A PH OF 12;
MOVUS PLASTIC POLISH NO.1;ISOPROPYL ALCOHOL (SARA III); STRONG OXIDIZERS;;Respiratory Protection:FOR SYMPTOMS OF OVEREXPOSURE, WEAR A NIOSH APPROVED RESPIRATOR FOR ORGANIC VAPORS. Ventilation:LOCAL EXHAUST MAY BE NECESSARY UNDER SOME USAGE/HANDLING CONDITIONS. NEEDS SHOULD BE ADDRESSED BY HEALTHCARE PERSONNEL. Protective Gloves:NEOPRENE, CHEMICAL RESITANT Eye Protection:SAFETY GLASSES RECOMMENDED. Other Protective Equipment:EYE WASH STATION, SAFETY SHOWER SHOULD BE AVAILABLE. Work Hygienic Practices:REMOVE/LAUNDER CONTAMINATED CLOTHING BEFORE REUSE. Supplemental Safety and Health NONE;
60 DEG TECHNICAL;SULFURIC ACID; WATER/ALKALINE/METAL/CARBIDE/CHLORATE/FUMINATE/NITRATE/PICRATE/STRONG OXIDANT/REDUCER/COMBUSTIBLE ORGANICS/METAL POWDER;FIRE, EXTREMELY HIGH TEMPERATURES, SUN, SPARKS, FLAME TO PREVENT PRESSURE BUILD UP;Respiratory Protection:USE APPROPRIATE NIOSH/MSHA RESPIRATORY PROTECTION. Ventilation:GOOD GENERAL VENTILATION TO KEEP VAPOR & MIST CONCENTRATIONS BELOW THE EXPOSURE LIMITS. Protective Gloves:ACID-PROOF GAUNTLET Eye Protection:CHEMICAL SPLASH GOGGLES/FULL FACE SHIELD Other Protective Equipment:APRON, BOOTS, ACID PROOF SUIT & HOOD, LONG SLEEVE WOOL/ACRYLIC/POLYESTER CLOTHING Work Hygienic Practices:REMOVE/LAUNDER CONTAMINATED CLOTHING BEFORE REUSE. WASH THOROUGHLY AFTER HANDLING. LAUNDER SHOES BEFORE REUSE. Supplemental Safety and Health NOTE TO PHYSICIAN: CONTINUED WASHING OF THE AFFECTED AREA W/COLD OR ICED WATER WILL BE HELPFUL IN REMOVING THE LAST TRACES OF SULFURIC ACID. CREAMS/OINTMENTS SHOULD NOT BE APPLIED BEFORE/DURING THE WA SHING PHASE OF THE TREATMENT. AVOID FREEZING TISSUES. NOTE: THIS IS A CORROSIVE MATERIAL;
CHEM AQUA 1444;BENZOTRIAZOLE, ETHYLENEDIAMINE-TETRAACETIC ACID (EDTA) (SARA III), TRIPOLYPAOSPHATE; ;;Ventilation:LOCAL EXHAUST Supplemental Safety and Health P;
FORMALDEHYDE, 37% SOLUTION, FX0418;FORMALDEHYDE (SARA 302/313) (CERCLA), METHANOL (SARA 313) (CERCLA), WATER, OTHER PRECS:HEATERS/ELEC MOTORS AT LOCATIONS DIST FROM MATL, ING 4:DRUM, EVEN EMPTY, BECAUSE PROD/RESIDUE, CAN IGNITE, RESP PROT:SPECIFIED CNDTNS (SEE SFTY EQUIP SUPP)., EYE PROT:AND FULL LENGTH FACESHIELD .; ACIDS, OXIDIZERS, ISOCYANATES, STRONG ALKALIES, PHEL, ANHYDRIDES, OXIDES AND IRGANIC ACIDS;HEAT, SPARK, OPEN FLAME CONTACT WITH HCL MAY CAUSE FORMATION OF THE POTENT CARCIGEN, BISCHLOROMETHYL ETHER;Respiratory Protection:IF WORKPLACE EXPOSURE LIMIT(S) OF PROD/ANY COMPONENT IS EXCEEDED (SEE TLV/PEL), NIOSH/MSHA APPRVD AIR SUPP RESP IS ADVISED IN ABSENCE OF PROPER ENVIRON CTL. OSHA REGS ALSO PERMIT OTHER NIOSH/MSHA APPR VD RESPS (NEG PRESS TYPE) UNDER (ING 6) Ventilation:MATERIAL MUST BE HANDLED OR TRANSFERRED IN AN APPROVED FUME HOOD OR WITH ADEQUATE VENTILATION. Protective Gloves:PROT GLOVES (NEOPRENE, NITRILE/EQUIV). Eye Protection:ANSI APPROVED CHEM WORKERS GOGGS (ING 7) Other Protective Equipment:ANSI APPROVED EMERGENCY EYE WASH AND DELUGE SHOWER . IMPERVIOUS PROTECTIVE CLTHG MUST BE WORN TO PVNT SKIN CONT. Work Hygienic Practices:WASH THROUGHLY AFTER HANDLING. DO NOT TAKE INTERNALLY. Supplemental Safety and Health EXPLAN OF CARCIN:BE CARCIN. ANIMAL:NASAL TUMORS. SPILL PROC:W/FED, STATE & LOC REGS ON REPORTING RELS. NEUT AGENT:ADDNL INFO ON SPILL-X PRODS CAN BE PROVIDED THROUGH MFR TECHNICAL SERVICE DEPT 609-354 -9200. FOLLOWING MFR NEUT & ABSORB IS REC FOR PROD:SX0865 FORMALDEHYDE SOLV SPILL TREATMENT KIT;
COMMANDO;NON-HAZARDOUS FOR INGREDIENTS; ;;Respiratory Protection:NONE Ventilation:LOCAL EXHAUST Protective Gloves:NONE Eye Protection:SAFETY GLASSES Other Protective Equipment:NONE Supplemental Safety and Health;
DYKEM SPRAY STEEL BLUE SP-1100;METHYL VIOLET, N-BUTYL ACETATE (SARA III), ETHYL ALCOHOL (ETHANOL), N-BUTYL ALCOHOL (SARA III), NITROCELLULOSE, ISOPROPYL ALCOHOL (SARA III), PROPANE, ISOBUTANE, BUTANE; STRONG OXIDIZING AGENTS;AVOID HEAT, SPARKS & OPEN FLAME;Respiratory Protection:IF TLV IS EXCEEDED, OR FOR SYPMTOMS OF OVEREXPOSURE, WEAR NIOSH APPROVED ORGANIC VAPOR RESPIRATOR. Ventilation:LOCAL EXHAUST: NECESSARY UNDER SOME HANDLING OR USE CONDITIONS. Protective Gloves:NONE NEEDED Eye Protection:WEAR GOGGLES, FACE SHIELD Other Protective Equipment:WEAR NEOPRENE OR CHEMICAL RESISTANT GLOVES & APRON AS NEEDED TO PREVENT REPEATED OR PROLONGED SKIN CONTACT. Work Hygienic Practices:USE WITH ADEQUATE VENTILATION. Supplemental Safety and Health;
R-2224 ALKALINE-IODIDE-SOD.AZIDE REAGENT.;SODIUM AZIDE (SARA III), WATER, POTASSIUM IODIDE, POTASSIUM HYDROXIDE (SARA III); AVOID ACIDS;KEEP CONTAINER CLOSED;Protective Gloves:PLASTIC Eye Protection:OVERALL GOGGLES Supplemental Safety and Health;
D-76B DEVELOPER;NON-HAZARDOUS INGREDIENTS; ;;Respiratory Protection:WHERE REQUIRED, USE NIOSH APPROVED HIGH EFFICIENCY DUST RESPIRATOR. Ventilation:LOCAL EXHAUST: TO MAINTAIN TLV. MECHANICAL: TO MAINTAIN TLV. SPECIAL & OTHER: NONE Protective Gloves:CHEMICALLY RESISTANT Eye Protection:SAFETY GOGGLES. Other Protective Equipment:CHEMICAL RESISTANT APRON. Work Hygienic Practices:WASH BEFORE EATING, DRINKING, SMOKING OR USING TOILET. Supplemental Safety and Health NONE SPECIFIED BY MANUFACTURER;
MYRA CYN 1102;AMMONIUM CHLORIDE (SARA III); ANIONIC MATERIAL (SOAPS, DETERGENTS, ETC );;Respiratory Protection:USE ADEQUATE VENTILATION Protective Gloves:PLASTIC/RUBBER Eye Protection:GLASSES OR GOGGLES Supplemental Safety and Health 5568 SCHAEFER AVE. P.O. BOX 1697, CHINO, CA 91710;
