Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Dance Clubs,1,0.0904585283,0.0448616362,0.0851128721,0.1021142728,0.0859118583,0.0420502893,0.0745331397,0.0874659947,0.0321514511,0.0617331616,0.0057280219,0.1779585181,0.0682103035,0.0703317424,0.0630940786,0.0571860179,0.0351680085,0.0880036896,0.0357368337,0.0321255358,0.061557358,0.0163315026,0.1140755052,0.0400175413,0.0037797553,0.0402144881,0.049660935,0.0918308206,0.0401495238
Tapas Bars,0.0904585283,1,0.0619617829,0.1228562339,0.0464822926,0.106153866,0.0161850041,0.0816671119,0.1760951617,0.0559503191,0.0603164337,0.0061204027,0.1851301175,0.0789580592,0.4640036172,0.9712242468,0.0609515159,0.0502999503,0.114188687,0.1863521866,0.0277725061,0.0686994362,0.0175167282,0.1050883648,0.0548711389,0.0062563366,0.0474720271,0.0807488455,0.1799571378,0.0321483
Pakistani,0.0448616362,0.0619617828,1,0.2805601925,0.0004631533,0.0351654149,0.0675998846,0.0327390224,0.0549035079,0.0310984086,0.0191494984,0.0199153666,0.1310037598,0.0010514873,0.0323893508,0,0.140335615,0.0619906504,0.0677278236,0.0004476984,0.0424248022,0.033300848,0.0217920585,0.0222208153,0.9346102545,0.0007377086,0.0020253553,0,0.5591722896,0.0655937087
Vegetarian,0.0851128714,0.1228562329,0.2805601905,1,0.073054802,0.2457200782,0.2099236215,0.2152711753,0.1478115423,0.0896559065,0.110189134,0.0319274254,0.1872689176,0.0668532511,0.1347757418,0.0499801232,0.6644982246,0.2068598815,0.2558513322,0.0048687972,0.1240577365,0.1659581486,0.0725528951,0.2379568125,0.3400612593,0.0075277542,0.1407318629,0.0610625346,0.4337311464,0.0977040823
Food Court,0.1021142728,0.0464822926,0.0004631533,0.0730548025,1,0.0859387233,0.0230182325,0.0357657196,0.0614414225,0.0509572939,0.033763312,0.0162307512,0.1072968113,0.061892195,0.0324712272,0.0007415156,0.0562882683,0.0393981856,0.1114510878,0.0003814821,0.0259372367,0.0501230511,0.0290677821,0.0542302375,0.0005990117,0,0.0279545254,0.0006364118,0.0746259295,0.0205747092
Tex-Mex,0.0859118549,0.1061538618,0.0351654136,0.2457200706,0.08593872,1,0.0359723768,0.1038484337,0.1424976264,0.1050242337,0.134790877,0.0079713018,0.1080898768,0.0328863665,0.261699886,0.0786117459,0.1249128183,0.0585281518,0.3277417439,0.0051288835,0.1273758105,0.1417914934,0.0355011573,0.7569349155,0.036419493,0.0329033008,0.0576330236,0.1154409872,0.1242531971,0.0519093328
Middle Eastern,0.0420502876,0.0161850034,0.0675998818,0.2099236143,0.0230182315,0.0359723767,1,0.0146178652,0.0421222381,0.0131104216,0.0367265251,0.0053722839,0.0351737866,0.0047528882,0.0207259852,0.0016457471,0.0714853985,0.4935784034,0.0902411236,0.0006258456,0.127176445,0.0626845774,0.0089807752,0.0327751441,0.0605090462,0.0282809624,0.0120506188,0.0287675316,0.7008696756,0.2267503281
Chinese,0.0745331435,0.081667116,0.0327390241,0.215271188,0.0357657215,0.1038484431,0.0146178666,1,0.0898243304,0.0796042199,0.0767283727,0.0052546732,0.1010452565,0.1541157113,0.0557945726,0.0303960325,0.1549208541,0.0220365025,0.1796139421,0.0030301667,0.241955983,0.0706779001,0.2333566159,0.1272375753,0.0323351169,0.0167488643,0.823877851,0.0662794281,0.0918857998,0.0329612714
Brasseries,0.0874659975,0.1760951671,0.0549035097,0.1478115481,0.0614414244,0.1424976364,0.0421222412,0.0898243286,1,0.0658754268,0.0715056651,0.0193340611,0.2055257897,0.0579363376,0.1035774455,0.0351839822,0.1257393788,0.0707147136,0.2064688044,0.0215913111,0.052973368,0.1301023098,0.0470209917,0.0845064086,0.0580796099,0.0016731579,0.0660586631,0.0267382111,0.1993813634,0.0709091098
Food Stands,0.0321514511,0.0559503191,0.0310984086,0.0896559071,0.0509572939,0.1050242377,0.0131104222,0.0796042157,0.0658754247,1,0.1286387236,0.0051920391,0.0873098317,0.0799845375,0.0780676307,0.0353023229,0.0737130787,0.0235525612,0.1415714549,0.0030620919,0.1062235386,0.0741977776,0.0195266977,0.1246150288,0.027858941,0.0026364513,0.0773553457,0.1161518071,0.0613231017,0.0034505843
