Topic: 0
went : 2.02247285896
time : 1.96696986385
just : 0.898590286485
way : 0.822569956801
wasn : 0.784157650245
really : 0.735738434612
think : 0.727361747303
sure : 0.711989402732
got : 0.704761212483
ordered : 0.671536061949
like : 0.667100006616
wanted : 0.662170320185
took : 0.645750022679
table : 0.632708919887
order : 0.621626294698
Topic: 1
ramen : 1.19163252881
small : 0.893105561922
pork : 0.841363188079
taste : 0.84059873306
wait : 0.698845648777
spicy : 0.627284522659
like : 0.564161859144
rice : 0.54794120619
noodles : 0.54526885176
flavor : 0.528665959776
try : 0.512538530582
tender : 0.506656274449
ve : 0.500521349408
soup : 0.489477050443
tried : 0.47407800576
Topic: 2
great : 5.68081761047
service : 3.84450276499
place : 2.89578423774
staff : 2.84586003276
friendly : 1.85749116408
atmosphere : 1.09303248658
good : 1.08330991317
time : 1.04780878854
awesome : 0.932916258008
love : 0.924192260741
happy : 0.874460505957
prices : 0.718829936231
best : 0.71750685273
nice : 0.713007693886
town : 0.708416179163
Topic: 3
bar : 1.14526308049
sports : 0.956924940072
watch : 0.939378625919
good : 0.912236144922
night : 0.781664740302
beer : 0.761655645218
tv : 0.707692963352
wings : 0.700489932049
like : 0.692139485131
place : 0.609153711367
game : 0.574320308588
pretty : 0.544466205728
tvs : 0.507070081088
tables : 0.472794962306
just : 0.447887774984
Topic: 4
sandwich : 1.21790834434
years : 1.19405937304
breakfast : 0.771422804329
sandwiches : 0.767846487071
bagels : 0.636137476039
ve : 0.603869843937
place : 0.590447428315
cheese : 0.526755631314
bagel : 0.521177700328
best : 0.443702867806
like : 0.425265365726
just : 0.418568446023
love : 0.395710361447
new : 0.388122357465
phoenix : 0.387060861397
Topic: 5
love : 1.41610610251
wings : 1.34761832249
salad : 1.03617788259
ve : 0.932259089206
pita : 0.931425051233
pizza : 0.857238774897
chicken : 0.853836816328
healthy : 0.739876505667
place : 0.718615718112
hummus : 0.674430142022
like : 0.595965845881
wish : 0.577717444183
wrap : 0.539823444413
location : 0.517978948176
eat : 0.484478654694
Topic: 6
service : 2.48315609758
good : 2.30288407838
tasty : 1.63204756087
really : 1.62805649354
lunch : 1.28915639843
nice : 0.904632651241
pretty : 0.861818700073
quick : 0.715067635879
great : 0.698201734409
fresh : 0.687699002089
salad : 0.657234032108
portions : 0.655200298684
tacos : 0.560141749955
little : 0.518781655844
yummy : 0.484059920132
Topic: 7
vegan : 1.54302907911
vegetarian : 1.51567961819
thai : 1.10591574298
veggie : 0.751384225994
tea : 0.693865254756
restaurant : 0.691295787844
yum : 0.638547228825
try : 0.613271735234
meat : 0.604753591642
green : 0.501307069842
spicy : 0.489385134229
rice : 0.48411446763
dishes : 0.478442444868
options : 0.475446652999
chicken : 0.459055321892
Topic: 8
vegas : 2.81788037849
place : 2.43620628623
worth : 1.41743435399
recommend : 1.26299287563
strip : 1.02415214923
love : 1.02337972567
good : 1.00812526797
time : 0.803273296295
ve : 0.712433668134
yummy : 0.669821700501
best : 0.631578712168
want : 0.534074958207
restaurant : 0.517099539908
visit : 0.516551957814
trip : 0.495121628217
Topic: 9
tapas : 1.18524969316
sangria : 0.764522342746
wine : 0.732957477443
cheese : 0.697511442939
stuffed : 0.668520184342
shrimp : 0.534817614515
wrapped : 0.503267571918
red : 0.499512581514
white : 0.465250579952
try : 0.456854334266
tuna : 0.446969196896
dates : 0.431929364956
tomato : 0.418663962084
bacon : 0.357507484735
ordered : 0.357199705672
