word	sentiment
#cruelty	-0.953
#dog	0.219
#exhausted	-0.516
#expensive	-0.234
#finallyinthehotel	0.141
#sad	-0.797
#smile	0.953
#wantit	0.234
FALSE	-0.444
TRUE	0.625
aaaaaaah	-0.042
aaaah	0.04
aardvark	-0.146
aback	-0.23
abacus	0.02
abalone	0.0
abandon	-0.694
abandoned	-0.656
abandonment	-0.744
abashed	-0.646
abate	-0.49
abatement	-0.224
abba	0.124
abbey	0.16
abbot	-0.146
abbreviate	0.062
abbreviation	-0.062
abdomen	-0.062
abdominal	-0.02
abduct	-0.654
abduction	-0.876
aberrant	-0.708
aberration	-0.75
abeyance	-0.34
abhor	-0.75
abhorrence	-0.666
abhorrent	-0.542
abide	0.27
abiding	0.592
ability	0.75
abject	-0.292
ablation	-0.164
ablaze	-0.52
able	0.25
abnormal	-0.458
abnormality	-0.816
aboard	0.396
abode	0.24
abolish	-0.639
abolition	-0.354
abominable	-0.76
abominate	-0.604
abomination	-0.844
aboriginal	-0.104
abort	-0.694
abortion	-0.836
abortive	-0.82
abound	0.408
abovementioned	0.082
abracadabra	0.346
abrasion	-0.188
abrasive	-0.216
abreast	0.27
abroad	0.354
abrogate	-0.346
abrupt	-0.254
abruptly	-0.5
abscess	-0.692
absence	-0.694
absent	-0.646
absentee	-0.53
absenteeism	-0.192
absinthe	-0.038
absolute	0.313
absolution	0.43
absolve	0.368
absorb	-0.062
absorbed	-0.02
absorbent	0.104
absorbing	-0.02
absorption	0.218
abstain	-0.23
abstention	-0.458
abstinence	-0.48
abstract	-0.124
abstraction	-0.062
absurd	-0.611
absurdity	-0.77
abundance	0.625
abundant	0.583
abuse	-0.931
abused	-0.958
abusive	-0.75
abutment	0.0
aby	-0.23
abysmal	-0.5
abyss	-0.597
academic	0.562
academy	0.408
accede	0.396
accelerant	0.286
accelerate	0.23
accelerated	0.22
acceleration	0.408
accelerator	0.186
accent	0.196
accentuate	0.346
accept	0.476
acceptable	0.458
acceptance	0.873
acceptances	0.694
access	0.428
accessible	0.592
accession	0.224
accessory	0.124
accident	-0.458
accidental	-0.362
accidentally	-0.188
acclaim	0.124
accolade	0.376
accommodate	0.556
accommodation	0.634
accompaniment	0.48
accompany	0.666
accompanying	0.574
accomplice	-0.184
accomplish	0.619
accomplished	0.74
accomplishment	0.792
accord	0.403
accordance	-0.083
accordion	0.208
account	0.062
accountability	0.51
accountable	0.418
accountant	0.25
accounting	0.104
accounts	0.184
accredited	0.338
accretion	-0.104
accrue	0.04
accueil	-0.1
accumulate	0.146
accumulation	-0.042
accuracy	0.472
accurate	0.365
accursed	-0.73
accusation	-0.854
accusative	-0.604
accuse	-0.528
accused	-0.74
accuser	-0.756
accusing	-0.688
accustomed	0.084
ace	0.286
acetic	-0.334
acetylene	-0.388
ache	-0.708
achieve	0.625
achieved	0.792
achievement	0.819
aching	-0.894
