Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Dance Clubs,1,0.0285928041,0.0053549555,0.0351818136,0.0176160196,0.0257537271,0.0331798202,0.033646787,0.0289199882,0.0137552327,0.017702912,0.0029908818,0.1853307796,0.0082165098,0.0208159407,0.0012722737,0.02578296,0.0236044129,0.0285169432,0.0062213097,0.017272151,0.0138204395,0.0026248596,0.0402904689,0.0040651372,0.0051526049,0.0155935368,0.0036253746,0.0387645341,0.0113313103
Tapas Bars,0.0285928041,1,0.0075415012,0.0468373461,0.0199318417,0.0517861098,0.0178487989,0.0351662855,0.0684542393,0.0304279382,0.0387452221,0.0052078628,0.1251401526,0.022927863,0.1797355959,0.0098355168,0.036599431,0.0187265829,0.0302212726,0.1660535895,0.0182644872,0.0245965689,0.0028749465,0.1010801484,0.005433669,0.0158782056,0.0190914142,0.0501026602,0.0584281231,0.0076960927
Pakistani,0.0053549555,0.0075415012,1,0.2645431503,0.0031186745,0.0071149347,0.0958513057,0.0141376231,0.0177853389,0.0043572506,0.0436042899,0.0079143905,0.0159256932,0.0046515178,0.0049363459,0.0007904107,0.2196222811,0.0928339614,0.0376888885,0.0058884372,0.0403944033,0.0071754931,0.0020353813,0.0074871475,0.9621261196,0.0075249759,0.0072588826,0.0014972729,0.0967608629,0.0573934349
Vegetarian,0.0351818136,0.0468373461,0.2645431503,1,0.0571216864,0.1024909171,0.5947790671,0.1387343952,0.0707350405,0.0328017623,0.0570037602,0.0306370617,0.1103147204,0.0244228008,0.0522677949,0.0032121092,0.4657007059,0.3788693797,0.1077521688,0.0144551888,0.1650912051,0.0684431397,0.0464913551,0.1286947547,0.2581934446,0.0209332643,0.075303676,0.0102265039,0.6128137657,0.2182258056
Food Court,0.0176160196,0.0199318417,0.0031186745,0.0571216864,1,0.0219969545,0.0117101146,0.0384446467,0.0323473928,0.0174691526,0.0343144988,0.0015032769,0.0578364171,0.0267739266,0.0111363194,0.0010935931,0.0321835041,0.0076247016,0.039559818,0.0065542741,0.0164446035,0.0272307011,0.0013326884,0.0264081337,0.0024201253,0.0036911281,0.0226798872,0.0007651708,0.0226770503,0.0053490672
Tex-Mex,0.0257537271,0.0517861098,0.0071149347,0.1024909171,0.0219969545,1,0.010010762,0.0424639894,0.0552074567,0.026650699,0.0407872598,0.0034397069,0.0489969246,0.0218114152,0.1641045652,0.0089246425,0.0541019862,0.0107051575,0.1299071668,0.0129739302,0.0685647875,0.0275176005,0.0034824287,0.703909081,0.0083741107,0.0048915581,0.0128718842,0.0131233746,0.0223146507,0.0085516396
Middle Eastern,0.0331798202,0.0178487989,0.0958513057,0.5947790671,0.0117101146,0.010010762,1,0.0117019721,0.0129041226,0.0080355547,0.035398853,0.0232913673,0.0398273752,0.0050343774,0.0142597153,0.002050955,0.1451726076,0.7037049061,0.0557637849,0.0160024688,0.193797978,0.0538513905,0.0023563532,0.0135457794,0.04294334,0.0367231322,0.0051977241,0.0032259366,0.8601862718,0.3467914693
Chinese,0.033646787,0.0351662855,0.0141376231,0.1387343952,0.0384446467,0.0424639894,0.0117019721,1,0.0426689311,0.0503777274,0.0369282052,0.0052076563,0.070135868,0.1145673155,0.0309454907,0.0034891967,0.1455048478,0.0119527196,0.1000211307,0.0163829445,0.2643823616,0.0278240851,0.4336946656,0.0763105668,0.0145996384,0.0172235839,0.5910422225,0.0374168803,0.0251780032,0.0072806493
Brasseries,0.0289199882,0.0684542393,0.0177853389,0.0707350405,0.0323473928,0.0552074567,0.0129041226,0.0426689311,1,0.027107639,0.0436243311,0.0059239337,0.1446733027,0.016519072,0.0343270839,0.0029663175,0.0838260127,0.0107422738,0.0884295963,0.0342828175,0.0255424086,0.0629862076,0.0040895714,0.0480860188,0.0223255919,0.0108293602,0.0224321978,0.0045724365,0.0428393126,0.0376849189
Food Stands,0.0137552327,0.0304279382,0.0043572506,0.0328017623,0.0174691526,0.026650699,0.0080355547,0.0503777274,0.027107639,1,0.0688259379,0.0040507979,0.0369194187,0.046684409,0.021463332,0.009634991,0.0394228937,0.0075714517,0.0669034021,0.0049959583,0.0777235175,0.0206404636,0.008482474,0.0625689024,0.0041065825,0.0040009915,0.0272470357,0.0051039265,0.0131454042,0.003995093
Hot Dogs,0.017702912,0.0387452221,0.0436042899,0.0570037602,0.0343144988,0.0407872598,0.035398853,0.0369282052,0.0436243311,0.0688259379,1,0.0035934819,0.062197763,0.1819017777,0.0250976648,0.0049188153,0.050815838,0.0697980071,0.3328037755,0.0075395822,0.0396762432,0.0964334536,0.0091417339,0.0696031202,0.0375719918,0.0137638956,0.0131025421,0.0054210411,0.0634447749,0.0107070114
Ethiopian,0.0029908818,0.0052078628,0.0079143905,0.0306370617,0.0015032769,0.0034397069,0.0232913673,0.0052076563,0.0059239337,0.0040507979,0.0035934819,1,0.0079686456,0.0026269464,0.0036603181,0.0004269866,0.375134948,0.0072931894,0.0073220452,0.0027727464,0.0297498046,0.003840889,0.0005930561,0.0047874849,0.0077384055,0.0019113219,0.0022933672,0.0012374486,0.0163696441,0.0069895637
Italian,0.1853307796,0.1251401526,0.0159256932,0.1103147204,0.0578364171,0.0489969246,0.0398273752,0.070135868,0.1446733027,0.0369194187,0.062197763,0.0079686456,1,0.0244863303,0.0554357258,0.0047343927,0.1333481188,0.0471371411,0.0943372877,0.035487681,0.044437803,0.1713472264,0.0069019072,0.0610884684,0.0140191966,0.0202892486,0.0400077875,0.0106035453,0.1136261572,0.0239728779
Korean,0.0082165098,0.022927863,0.0046515178,0.0244228008,0.0267739266,0.0218114152,0.0050343774,0.1145673155,0.016519072,0.046684409,0.1819017777,0.0026269464,0.0244863303,1,0.0099784253,0.0014000272,0.0237704767,0.005526357,0.0432732997,0.0058495312,0.0658417783,0.0094212603,0.036799035,0.0895911776,0.0043318386,0.0062059452,0.0533284661,0.0020105093,0.0104728587,0.002795341
Latin American,0.0208159407,0.1797355959,0.0049363459,0.0522677949,0.0111363194,0.1641045652,0.0142597153,0.0309454907,0.0343270839,0.021463332,0.0250976648,0.0036603181,0.0554357258,0.0099784253,1,0.5579566371,0.0372424646,0.0112160437,0.0523412982,0.0223153963,0.0387556585,0.0163820041,0.0035651231,0.2444749025,0.0050994512,0.0040814801,0.0091970122,0.2088027196,0.0312378901,0.0062216006
Venezuelan,0.0012722737,0.0098355168,0.0007904107,0.0032121092,0.0010935931,0.0089246425,0.002050955,0.0034891967,0.0029663175,0.009634991,0.0049188153,0.0004269866,0.0047343927,0.0014000272,0.5579566371,1,0.0043935687,0.0028180061,0.0094201297,0.0012759309,0.0065940421,0.0023655884,0.0013474,0.0161721316,0.0006370609,0.0006335236,0.0014820885,0.0128822917,0.0031215072,0.0005078594
Vegan,0.02578296,0.036599431,0.2196222811,0.4657007059,0.0321835041,0.0541019862,0.1451726076,0.1455048478,0.0838260127,0.0394228937,0.050815838,0.375134948,0.1333481188,0.0237704767,0.0372424646,0.0043935687,1,0.0863023709,0.1050477109,0.0161580804,0.1029514125,0.0623311561,0.0467161375,0.0641245604,0.2325014798,0.0117583291,0.08198425,0.0058324554,0.1441465507,0.0651170709
Greek,0.0236044129,0.0187265829,0.0928339614,0.3788693797,0.0076247016,0.0107051575,0.7037049061,0.0119527196,0.0107422738,0.0075714517,0.0697980071,0.0072931894,0.0471371411,0.005526357,0.0112160437,0.0028180061,0.0863023709,1,0.057716793,0.0153773034,0.1676957418,0.0384068139,0.0017111765,0.0151385665,0.0097209607,0.0435096779,0.005691156,0.0026975529,0.8709356868,0.2175951435
Fast Food,0.0285169432,0.0302212726,0.0376888885,0.1077521688,0.039559818,0.1299071668,0.0557637849,0.1000211307,0.0884295963,0.0669034021,0.3328037755,0.0073220452,0.0943372877,0.0432732997,0.0523412982,0.0094201297,0.1050477109,0.057716793,1,0.0136401642,0.0858853856,0.2114229732,0.0096522141,0.1922813943,0.0359541318,0.0167008917,0.0395096185,0.0186153614,0.0705909709,0.0475729897
Ukrainian,0.0062213097,0.1660535895,0.0058884372,0.0144551888,0.0065542741,0.0129739302,0.0160024688,0.0163829445,0.0342828175,0.0049959583,0.0075395822,0.0027727464,0.035487681,0.0058495312,0.0223153963,0.0012759309,0.0161580804,0.0153773034,0.0136401642,1,0.0123050745,0.0102419575,0.0013642149,0.0224321928,0.0040645229,0.1474855453,0.0301113874,0.0018118937,0.0217396642,0.0101889994
Ethnic Food,0.017272151,0.0182644872,0.0403944033,0.1650912051,0.0164446035,0.0685647875,0.193797978,0.2643823616,0.0255424086,0.0777235175,0.0396762432,0.0297498046,0.044437803,0.0658417783,0.0387556585,0.0065940421,0.1029514125,0.1676957418,0.0858853856,0.0123050745,1,0.0752828982,0.3260472914,0.1171941208,0.0297528965,0.0287915663,0.1691656395,0.0090126231,0.1832915669,0.0822316728
Delis,0.0138204395,0.0245965689,0.0071754931,0.0684431397,0.0272307011,0.0275176005,0.0538513905,0.0278240851,0.0629862076,0.0206404636,0.0964334536,0.003840889,0.1713472264,0.0094212603,0.0163820041,0.0023655884,0.0623311561,0.0384068139,0.2114229732,0.0102419575,0.0752828982,1,0.0037632276,0.0299465976,0.0064805125,0.0469839132,0.0106291111,0.0036086004,0.0514943936,0.029025528
Vietnamese,0.0026248596,0.0028749465,0.0020353813,0.0464913551,0.0013326884,0.0034824287,0.0023563532,0.4336946656,0.0040895714,0.008482474,0.0091417339,0.0005930561,0.0069019072,0.036799035,0.0035651231,0.0013474,0.0467161375,0.0017111765,0.0096522141,0.0013642149,0.3260472914,0.0037632276,1,0.0062120964,0.0015512554,0.0018133083,0.3709344652,0.0014625347,0.0029435747,0.0009780288
Mexican,0.0402904689,0.1010801484,0.0074871475,0.1286947547,0.0264081337,0.703909081,0.0135457794,0.0763105668,0.0480860188,0.0625689024,0.0696031202,0.0047874849,0.0610884684,0.0895911776,0.2444749025,0.0161721316,0.0641245604,0.0151385665,0.1922813943,0.0224321928,0.1171941208,0.0299465976,0.0062120964,1,0.0080560575,0.0052711386,0.0198000098,0.0526252961,0.0288857894,0.0063000638
Indian,0.0040651372,0.005433669,0.9621261196,0.2581934446,0.0024201253,0.0083741107,0.04294334,0.0145996384,0.0223255919,0.0041065825,0.0375719918,0.0077384055,0.0140191966,0.0043318386,0.0050994512,0.0006370609,0.2325014798,0.0097209607,0.0359541318,0.0040645229,0.0297528965,0.0064805125,0.0015512554,0.0080560575,1,0.0030351631,0.0066390273,0.0020767175,0.0255312159,0.0430309879
Russian,0.0051526049,0.0158782056,0.0075249759,0.0209332643,0.0036911281,0.0048915581,0.0367231322,0.0172235839,0.0108293602,0.0040009915,0.0137638956,0.0019113219,0.0202892486,0.0062059452,0.0040814801,0.0006335236,0.0117583291,0.0435096779,0.0167008917,0.1474855453,0.0287915663,0.0469839132,0.0018133083,0.0052711386,0.0030351631,1,0.0123418939,0.0011024288,0.042053431,0.0404336026
Cantonese,0.0155935368,0.0190914142,0.0072588826,0.075303676,0.0226798872,0.0128718842,0.0051977241,0.5910422225,0.0224321978,0.0272470357,0.0131025421,0.0022933672,0.0400077875,0.0533284661,0.0091970122,0.0014820885,0.08198425,0.005691156,0.0395096185,0.0301113874,0.1691656395,0.0106291111,0.3709344652,0.0198000098,0.0066390273,0.0123418939,1,0.0030698568,0.0108330136,0.0025372727
Peruvian,0.0036253746,0.0501026602,0.0014972729,0.0102265039,0.0007651708,0.0131233746,0.0032259366,0.0374168803,0.0045724365,0.0051039265,0.0054210411,0.0012374486,0.0106035453,0.0020105093,0.2088027196,0.0128822917,0.0058324554,0.0026975529,0.0186153614,0.0018118937,0.0090126231,0.0036086004,0.0014625347,0.0526252961,0.0020767175,0.0011024288,0.0030698568,1,0.005358579,0.0011975848
Mediterranean,0.0387645341,0.0584281231,0.0967608629,0.6128137657,0.0226770503,0.0223146507,0.8601862718,0.0251780032,0.0428393126,0.0131454042,0.0634447749,0.0163696441,0.1136261572,0.0104728587,0.0312378901,0.0031215072,0.1441465507,0.8709356868,0.0705909709,0.0217396642,0.1832915669,0.0514943936,0.0029435747,0.0288857894,0.0255312159,0.042053431,0.0108330136,0.005358579,1,0.2930320094
Turkish,0.0113313103,0.0076960927,0.0573934349,0.2182258056,0.0053490672,0.0085516396,0.3467914693,0.0072806493,0.0376849189,0.003995093,0.0107070114,0.0069895637,0.0239728779,0.002795341,0.0062216006,0.0005078594,0.0651170709,0.2175951435,0.0475729897,0.0101889994,0.0822316728,0.029025528,0.0009780288,0.0063000638,0.0430309879,0.0404336026,0.0025372727,0.0011975848,0.2930320094,1
