imya	number	another
Asian BBQ & Noodles	0.909090909091	0.277076290067
Golden Flower Chinese Cuisine	0.888888888889	0.266531475196
China One	0.857142857143	0.155410973575
Wendy's Noodle Cafe	0.833333333333	0.266350793979
Flamingo Palace	0.8	0.285248258163
Big Wong Restaurant	0.8	0.218516967197
Pan Asian	0.75	0.406074270741
China Red Cafe	0.75	0.160593371469
Bamboo Club	0.75	0.189534253668
Gourmet House of Hong Kong	0.75	0.199633441578
Golden Gate Chinese Restaurant	0.75	0.265241449583
Rice n Noodle	0.75	0.245262483466
New York Chinese Restaurant	0.583333333333	0.150252176145
Dragon Palace	0.5	0.196171968215
Fat Choy	0.5	0.219214697725
Noodle Asia	0.5	0.256336214315
Pho Kim Long	0.444444444444	0.213050941563
Joyful House Chinese Cuisine	0.4	0.188777754557
Noodles	0.4	0.225775534852
Pei Wei Asian Diner	0.307692307692	0.162844422272
Noodle Pot	0.25	0.321297112128
Fin	0.25	0.25666403028
The Prime Chinese Restaurant	0.25	0.153593013561
Little Dumpling	0.25	0.201472050236
P F Chang's China Bistro	0.0	0.130790980249
Jade Palace	0.0	0.180251234999
China Jade	0.0	0.153813885818
Go Go China	0.0	-0.119763894194
Jimmy Woo's	0.0	0.205181231146
Chin Chin Chinese Restaurant	0.0	0.170633374562
