Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Dance Clubs,1,0.445619349,0.3418567829,0.5273342891,0.3771246917,0.4556866259,0.5061054825,0.4194675468,0.438054318,0.3813245499,0.3775840791,0.385198186,0.5184874313,0.3817554595,0.410343822,0.2411987937,0.4779150786,0.5007500151,0.4831493198,0.3584209165,0.4065826406,0.3948406388,0.3921904315,0.4416924513,0.3067867116,0.2828593899,0.3495272101,0.2711271218,0.5304461248,0.4453312693
Tapas Bars,0.4456193497,1,0.4242756833,0.6793183771,0.3544262794,0.5772943689,0.6209516356,0.5159056066,0.6005787045,0.4889051951,0.4548632116,0.4643848143,0.6025768385,0.4586193661,0.5532156995,0.3100220505,0.6507661033,0.6259130868,0.5702182348,0.6111246832,0.5133467217,0.5117646062,0.4753871725,0.546675642,0.3846349248,0.3308696239,0.4285995606,0.3718487891,0.6705697468,0.557163497
Pakistani,0.3418567861,0.4242756865,1,0.6728017726,0.2817605798,0.4616174441,0.6121717355,0.5177494883,0.4276895236,0.4427824113,0.4471636678,0.4738539253,0.4427512625,0.4869109463,0.4145956634,0.2774520165,0.5870368335,0.5808961472,0.5463535958,0.3864515236,0.9529820121,0.4466603612,0.5033888429,0.4443404739,0.9914831436,0.3164679912,0.4155227919,0.3152248065,0.5894146447,0.5332642656
Vegetarian,0.52733427,0.6793183513,0.672801742,1,0.4387037238,0.753396537,0.9483595396,0.735969315,0.7539322716,0.6197574227,0.6455611789,0.683957303,0.7175474423,0.6609241482,0.6622105358,0.421980334,0.9071078896,0.9525458282,0.8276105455,0.6213659028,0.7800087832,0.7066791302,0.6855777234,0.7058865672,0.612985455,0.4355813353,0.6123555178,0.4830628179,0.9680727769,0.8173141106
Food Court,0.3771246916,0.3544262787,0.2817605771,0.4387037396,1,0.3980721641,0.4002234831,0.3617198963,0.3690261438,0.3272694504,0.352985338,0.3214935269,0.3875659452,0.3251325449,0.3330408721,0.2007029969,0.4025262436,0.4019957357,0.438427859,0.299702873,0.335737847,0.3655009753,0.3288662688,0.3669504763,0.2516281029,0.2298069919,0.3033725954,0.2333992247,0.4219006884,0.3547948825
Tex-Mex,0.4556866121,0.5772943505,0.4616174259,0.7533965415,0.3980721521,1,0.6749760522,0.5503669896,0.5814046688,0.5553604065,0.512802352,0.5013246398,0.5442785864,0.5215863171,0.9611565774,0.4995467726,0.6718111286,0.6804199283,0.7166550335,0.4787813501,0.628410531,0.5426565763,0.5159559723,0.9555907038,0.4171350326,0.3361169682,0.4496826397,0.4910431293,0.7006360716,0.6019924858
Middle Eastern,0.5061054679,0.6209516166,0.6121717122,0.9483595467,0.4002234717,0.6749760531,1,0.6655170918,0.5626677057,0.5554211815,0.5990001767,0.6571526332,0.6614119485,0.6164814583,0.5781123701,0.3772648098,0.7594925018,0.9856475023,0.7647634195,0.58809871,0.7058795729,0.6498212508,0.6342412891,0.6306904299,0.5406846744,0.4165990193,0.5631771142,0.4410195576,0.98718412,0.8255782612
Chinese,0.4194675519,0.5159056121,0.51774949,0.7359693508,0.3617199008,0.550367013,0.6655171192,1,0.5356656278,0.5008964988,0.4977121107,0.5020718296,0.540039595,0.6627544169,0.4817793954,0.3148532179,0.6704055136,0.670010796,0.6493296675,0.4520613588,0.6923501401,0.531080424,0.7744094614,0.5286802935,0.4754112081,0.368815042,0.8475511638,0.3746181766,0.6802112,0.5757262423
Brasseries,0.4380543146,0.6005786988,0.4276895163,0.7539322931,0.3690261411,0.5814046819,0.5626677176,0.535665617,1,0.513813165,0.5127594832,0.5021175908,0.6029800148,0.4735167289,0.5268183766,0.3307511798,0.9535085234,0.5607570611,0.6499053743,0.4979675797,0.5103238157,0.5939421073,0.4902047423,0.5222579009,0.4060639013,0.350691742,0.4411954885,0.3808293282,0.6117832509,0.6003208674
Food Stands,0.3813245405,0.4889051823,0.4427823963,0.6197574299,0.3272694424,0.5553604096,0.5554211837,0.5008964803,0.5138131563,1,0.5270481246,0.4300096201,0.4742085328,0.4631384444,0.5106948229,0.3375463284,0.5892488995,0.5567702604,0.6271720911,0.4088634424,0.5401388026,0.4877272552,0.4855620443,0.535169061,0.3940622707,0.2963062607,0.4170455001,0.3393170013,0.5758008279,0.4669786849
Hot Dogs,0.3775840726,0.454863203,0.447163656,0.6455611913,0.352985332,0.5128023587,0.5990001836,0.497712096,0.5127594784,0.5270481285,1,0.4446131845,0.505584215,0.480668296,0.4524189473,0.2879632458,0.5995532668,0.6021580487,0.71708366,0.411071894,0.5258359598,0.5419675938,0.4626093895,0.4770392266,0.4061189337,0.3415531419,0.410253627,0.3246139554,0.6157330558,0.5284564663
Ethiopian,0.3851981861,0.4643848137,0.4738539211,0.683957328,0.3214935271,0.501324655,0.6571526523,0.5020718235,0.5021175948,0.4300096308,0.4446131922,1,0.4847799747,0.4546217343,0.4362545318,0.2830876536,0.646218305,0.7217460229,0.5664648634,0.435017164,0.5399691769,0.4672746596,0.4717304915,0.4667268647,0.4318409871,0.3420824813,0.4194290788,0.3273665335,0.692959444,0.5713627571
Italian,0.518487436,0.6025768429,0.4427512625,0.7175474749,0.3875659489,0.5442786078,0.6614119736,0.5400395933,0.6029800249,0.4742085488,0.5055842283,0.484779979,1,0.4802086805,0.4919365307,0.3100159972,0.6759159667,0.6820415206,0.6195279696,0.47351748,0.5355539579,0.6222116827,0.4925835565,0.5085652452,0.3975026207,0.350225279,0.4608595874,0.3517736878,0.7206463004,0.5957738321
Korean,0.3817554593,0.4586193651,0.4869109416,0.660924172,0.3251325449,0.5215863326,0.6164814758,0.6627544084,0.4735167323,0.4631384557,0.480668304,0.4546217341,0.480208676,1,0.4657321949,0.2942084415,0.5889027126,0.6176695287,0.5818557233,0.4124103255,0.5937918495,0.4784365952,0.5669756081,0.4934238543,0.4487645853,0.3311754648,0.5492225726,0.3362565792,0.6270560169,0.5329895145
Latin American,0.4103438189,0.5532156945,0.4145956565,0.6622105549,0.3330408697,0.9611565994,0.5781123824,0.4817793859,0.5268183767,0.5106948317,0.4524189517,0.4362545285,0.4919365225,0.4657321916,1,0.5890741309,0.5970334884,0.5823730619,0.6278835478,0.4292118254,0.575758677,0.4779421758,0.4525937476,0.9169697517,0.3793781964,0.2870992477,0.390657131,0.5409475277,0.6052621551,0.521832696
Venezuelan,0.2411987965,0.3100220536,0.2774520172,0.4219803542,0.2007029993,0.4995467935,0.3772648251,0.3148532177,0.3307511862,0.3375463406,0.2879632541,0.2830876568,0.310015998,0.294208445,0.5890741421,1,0.3841400939,0.3797795515,0.3907266415,0.2676491834,0.3589578844,0.2915753589,0.2949557763,0.4758439736,0.2532897896,0.1960289753,0.2580603077,0.2636769258,0.3908211564,0.3259161552
Vegan,0.4779150969,0.6507661271,0.5870368506,0.9071079573,0.4025262591,0.6718111746,0.7594925528,0.670405531,0.9535085673,0.5892489366,0.5995533,0.6462183296,0.6759159864,0.5889027353,0.5970335157,0.3841401041,1,0.7628626461,0.762690361,0.5747391699,0.6803334535,0.6698631822,0.6160618611,0.6128432218,0.5503885682,0.4046802154,0.552371646,0.4430972057,0.797823047,0.7189997149
Greek,0.5007499871,0.6259130508,0.5808961094,0.9525458095,0.4019957134,0.6804199109,0.9856474756,0.6700107503,0.5607570342,0.5567702431,0.6021580254,0.7217459824,0.6820414763,0.6176694945,0.5823730337,0.3797795258,0.7628625743,1,0.772565051,0.5920343551,0.6826663194,0.6574975929,0.6369165884,0.6351022533,0.5055246671,0.4145613512,0.5680679588,0.4432707658,0.9954384045,0.8154870189
Fast Food,0.4831493185,0.5702182323,0.5463535893,0.8276105732,0.438427858,0.7166550532,0.7647634395,0.6493296577,0.6499053776,0.6271721048,0.7170836704,0.5664648617,0.6195279623,0.5818557219,0.6278835507,0.3907266359,0.7626903297,0.772565092,1,0.5105389527,0.6660529262,0.7033190012,0.5981189757,0.6802102723,0.4857880498,0.4076544161,0.5318840531,0.4290980061,0.7865312598,0.6705994659
Ukrainian,0.3584209165,0.6111246821,0.38645152,0.6213659252,0.299702873,0.4787813645,0.5880987268,0.4520613531,0.4979675834,0.4088634524,0.411071901,0.4350171638,0.4735174756,0.4124103256,0.4292118285,0.2676491802,0.5747391478,0.592034388,0.510538954,1,0.4565154872,0.435380157,0.4236889319,0.4464126315,0.3463075244,0.4484189766,0.3794796231,0.3138462662,0.6102720466,0.5031469165
Ethnic Food,0.4065826513,0.5133467344,0.9529820286,0.7800088322,0.335737856,0.6284105667,0.7058796119,0.6923501499,0.5103238332,0.5401388302,0.5258359828,0.539969191,0.5355539672,0.5937918655,0.5757586965,0.3589578897,0.6803334455,0.6826663756,0.6660529457,0.4565154994,1,0.5532784081,0.6529315767,0.6170783822,0.9422197455,0.37059643,0.5487404423,0.3956181098,0.6932992968,0.6122126987
Delis,0.3948406386,0.5117646051,0.4466603569,0.7066791555,0.3655009752,0.5426565925,0.6498212692,0.5310804172,0.5939421116,0.4877272671,0.5419676029,0.4672746593,0.6222116768,0.4784365952,0.4779421791,0.2915753553,0.6698631563,0.6574976294,0.7033190029,0.4353801569,0.5532783932,1,0.4951561514,0.4993755617,0.4059788341,0.3637540358,0.4237659442,0.3500220178,0.6733406929,0.5920558615
Vietnamese,0.3922061471,0.4754062211,0.5034090097,0.6856052203,0.328879447,0.5159766629,0.6342667223,0.7744404835,0.4902243892,0.4855815134,0.4626279349,0.4717493942,0.4926032905,0.5669983278,0.452611887,0.2949675921,0.6160865239,0.6369421461,0.5981429448,0.4237059098,0.6529577233,0.4951759932,1,0.489960081,0.4627876611,0.3372255052,0.6301367552,0.3435855942,0.6443727294,0.5466603783
Mexican,0.4416924582,0.5466756495,0.4443404767,0.7058866038,0.3669504821,0.9555907476,0.6306904579,0.5286802952,0.5222579131,0.5351690826,0.4770392422,0.4667268719,0.5085652485,0.4934238622,0.9169697728,0.4758439755,0.6128432079,0.6351022987,0.6802102848,0.4464126385,0.6170783754,0.4993755697,0.4899404561,1,0.403054749,0.3141055897,0.4302134874,0.4576917587,0.6534942528,0.5576340214
Indian,0.3067867237,0.3846349393,0.9914831736,0.6129855014,0.2516281129,0.4171350616,0.5406847113,0.4754112209,0.4060639204,0.3940622959,0.4061189567,0.431841004,0.3975026328,0.4487646031,0.3793782142,0.2532897967,0.5503885688,0.5055247153,0.4857880702,0.3463075381,0.9422197577,0.4059788503,0.4627691355,0.4030547586,1,0.2870206931,0.3777015156,0.2873769805,0.5157212527,0.4779822897
Russian,0.2828593889,0.3308696222,0.3164679872,0.4355813496,0.2298069911,0.3361169772,0.4165990299,0.3688150361,0.3506917435,0.296306267,0.3415531465,0.34208248,0.3502252746,0.3311754638,0.2870992488,0.1960289724,0.4046801985,0.4145613729,0.4076544158,0.4484189751,0.3705964189,0.3637540347,0.3372119915,0.3141055837,0.2870206808,1,0.3040711946,0.2359056852,0.4204787101,0.3775743327
Cantonese,0.3495272137,0.4285995642,0.4155227924,0.6123555462,0.3033725985,0.449682658,0.5631771361,0.847551162,0.4411954964,0.4170455146,0.4102536382,0.419429083,0.4608595879,0.5492225784,0.3906571379,0.2580603073,0.5523716305,0.5680679963,0.53188406,0.379479627,0.5487404334,0.4237659487,0.6301115122,0.4302134851,0.3777015046,0.3040711987,1,0.3063476002,0.5766003841,0.4861545363
