Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Dance Clubs,1,0.0420135621,0.0098779899,0.0558085696,0.0269180863,0.0406743201,0.0501910439,0.0484596215,0.0493996386,0.0219809803,0.0311732647,0.0048222568,0.195183748,0.0158381789,0.0437537578,0.0030984029,0.048598951,0.0356022442,0.0448836849,0.0107304233,0.0233916717,0.0198765477,0.0034537494,0.0579139457,0.0070909788,0.0120846892,0.0217454684,0.0067638433,0.0563199349,0.018515952
Tapas Bars,0.0420135621,1,0.0093887315,0.052202513,0.0226596958,0.0584869765,0.019280353,0.0385145789,0.0788589741,0.0435294156,0.0539023197,0.0064548301,0.1404637653,0.0255108317,0.2685130344,0.0174985465,0.0479780208,0.0188290911,0.0353580788,0.1839890348,0.0216254742,0.0271005286,0.002599136,0.1102581143,0.0068277768,0.0201908606,0.0245820856,0.0668382483,0.0559837341,0.0089788847
Pakistani,0.0098779899,0.0093887315,1,0.2476605771,0.003857638,0.0092345986,0.1137049995,0.0168677426,0.023317194,0.0066361046,0.0577419579,0.0104461352,0.0207093332,0.0072241264,0.0083583481,0.0016326802,0.2378818747,0.1200399677,0.0430942488,0.0083702217,0.0529188893,0.0086221319,0.0023340433,0.0092571315,0.9705569116,0.0150290555,0.0099179068,0.0023678307,0.1201352065,0.0658500239
Vegetarian,0.0558085696,0.052202513,0.2476605771,1,0.0590535348,0.1140688126,0.6622543144,0.1446918113,0.0894456824,0.0443720904,0.0729286349,0.0344322843,0.1272185988,0.0340442158,0.0775454591,0.0053522797,0.4812389001,0.4146502906,0.1236453941,0.0187958005,0.2126226359,0.0745431792,0.0505918024,0.1328213736,0.2228307574,0.0397860292,0.0940005256,0.0138858247,0.6657022988,0.2663998666
Food Court,0.0269180863,0.0226596958,0.003857638,0.0590535348,1,0.0230266376,0.012776991,0.0382223526,0.0401205038,0.0209356693,0.0406452091,0.0017175395,0.0650758791,0.0250314252,0.0173892496,0.0018742028,0.0394839571,0.0077784124,0.0440484382,0.008260794,0.0176984052,0.0270910725,0.0012249136,0.0276118195,0.0030420047,0.0060474188,0.0244743603,0.0010041493,0.0227849566,0.0060821337
Tex-Mex,0.0406743201,0.0584869765,0.0092345986,0.1140688126,0.0230266376,1,0.0103740711,0.0471990027,0.0705880296,0.0368509997,0.0522391106,0.0039355199,0.0582398479,0.0314089707,0.2427576639,0.0148183822,0.0721765637,0.0107523824,0.149621298,0.0179951723,0.0882717712,0.0292378141,0.0033313538,0.7656453003,0.0109827751,0.0083479258,0.0172938039,0.017328679,0.0228006688,0.0103251318
Middle Eastern,0.0501910439,0.019280353,0.1137049995,0.6622543144,0.012776991,0.0103740711,1,0.0124115042,0.0150480748,0.0103116601,0.0467492141,0.0253940138,0.0467776485,0.0064134867,0.020911673,0.0035419302,0.1908007513,0.7229748308,0.062512093,0.0204724103,0.236538269,0.0580060309,0.0022446309,0.0136280368,0.0431062443,0.0644658156,0.0065052798,0.0041141384,0.8853395022,0.3852617944
Chinese,0.0484596215,0.0385145789,0.0168677426,0.1446918113,0.0382223526,0.0471990027,0.0124115042,1,0.0534161002,0.0728113172,0.0468025383,0.0059842225,0.0845609379,0.1465010058,0.0437705427,0.005904195,0.1757887982,0.0120859836,0.1097906324,0.021998424,0.3364644204,0.0309313504,0.5034807033,0.074316658,0.0169776532,0.0323983779,0.6919958758,0.0417825456,0.0251591614,0.0084012076
Brasseries,0.0493996386,0.0788589741,0.023317194,0.0894456824,0.0401205038,0.0705880296,0.0150480748,0.0534161002,1,0.0400685867,0.0610380586,0.0079166923,0.1701361098,0.0246685255,0.0548621301,0.005655014,0.1225342723,0.0114068064,0.1154717332,0.0485480254,0.0371337131,0.0703263808,0.00410369,0.0580043204,0.0314033471,0.0203470546,0.0331917206,0.0059026541,0.0435958243,0.0492783897
Food Stands,0.0219809803,0.0435294156,0.0066361046,0.0443720904,0.0209356693,0.0368509997,0.0103116601,0.0728113172,0.0400685867,1,0.0998605955,0.0060743172,0.0532198611,0.0661335846,0.0357745339,0.0119620423,0.0625989457,0.0094535005,0.0910642763,0.0092425882,0.0912649203,0.0265032586,0.0112569834,0.0778302823,0.0059752458,0.0087080404,0.0462112986,0.0081171762,0.0168467276,0.0059345984
Hot Dogs,0.0311732647,0.0539023197,0.0577419579,0.0729286349,0.0406452091,0.0522391106,0.0467492141,0.0468025383,0.0610380586,0.0998605955,1,0.0048384663,0.0806283683,0.1916694015,0.0437548792,0.0073811427,0.0740953033,0.0902141214,0.3495590457,0.0119441033,0.0547554597,0.1180748039,0.0096249718,0.0784534074,0.0478361608,0.0288727095,0.0192836752,0.0076780235,0.0810230814,0.0146292464
Ethiopian,0.0048222568,0.0064548301,0.0104461352,0.0344322843,0.0017175395,0.0039355199,0.0253940138,0.0059842225,0.0079166923,0.0060743172,0.0048384663,1,0.0102585663,0.0035938604,0.0057949644,0.0006754706,0.3971680415,0.0081415994,0.0087741835,0.0037950539,0.0378178604,0.0042410135,0.0006003019,0.0054499596,0.0100010466,0.0029887136,0.0030751116,0.0018166531,0.0179558508,0.0082064825
