Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Dance Clubs,1,0.0283646518,0.0052696441,0.0349028706,0.0174856353,0.0254820384,0.0330825784,0.0333028364,0.0289006992,0.0136944931,0.0174650128,0.0029619922,0.18494416,0.0080612159,0.0207239778,0.0012606829,0.0255471512,0.0235077737,0.0279961455,0.0062047174,0.0171195882,0.0136725425,0.0025775451,0.040004681,0.0039978704,0.0050807775,0.0152822885,0.003609025,0.0386024044,0.0113208753
Tapas Bars,0.0283646518,1,0.0074983745,0.0467834645,0.0198677594,0.0516585749,0.0177643529,0.0350129148,0.0684564966,0.0305135127,0.0386178168,0.0051808757,0.124902365,0.0228601932,0.1797238667,0.0098270782,0.0365027154,0.0186555142,0.0299673699,0.1660451576,0.0181769554,0.0245226259,0.002839461,0.1009586908,0.0054049771,0.0158605236,0.0190035448,0.0501020848,0.0583017588,0.0076729429
Pakistani,0.0052696441,0.0074983745,1,0.2653658309,0.0030976818,0.0070318732,0.0958644328,0.0141822258,0.0178037862,0.0043323278,0.0436229965,0.0078969475,0.0158099197,0.0046560287,0.0049052485,0.0007913015,0.2196638371,0.0928230623,0.0376759365,0.0058837181,0.0403399595,0.0071512721,0.0020238634,0.0073827825,0.9621465375,0.0074855529,0.0072850556,0.0014915126,0.0967316407,0.0573857176
Vegetarian,0.0349028706,0.0467834645,0.2653658309,1,0.0570989898,0.1024657111,0.5967804455,0.1383586258,0.0710099034,0.0324117151,0.0567544656,0.0307116825,0.1101929344,0.0242912252,0.0523428022,0.00323004,0.4665135578,0.3801263642,0.1074828958,0.0144858702,0.1651449815,0.0684725156,0.0465142886,0.1287452646,0.2590084824,0.0209592381,0.0753971483,0.01023308,0.6148295536,0.2190212079
Food Court,0.0174856353,0.0198677594,0.0030976818,0.0570989898,1,0.0218643072,0.0116713281,0.0382176934,0.0323082635,0.0174785644,0.0341902207,0.0014830317,0.0577088781,0.0267315533,0.0110964626,0.0010938085,0.0320023791,0.0075767746,0.0394347368,0.0065402048,0.0163580074,0.027190853,0.0013023827,0.0262731575,0.0023858946,0.0036753996,0.0225964686,0.0007366637,0.0226037115,0.0053187029
Tex-Mex,0.0254820384,0.0516585749,0.0070318732,0.1024657111,0.0218643072,1,0.0098180283,0.0420078787,0.0551744686,0.0265359128,0.0403734001,0.0034111701,0.0485135467,0.0217034086,0.1641116579,0.0089253135,0.0538410898,0.0105642892,0.1291925847,0.0129437703,0.0684004418,0.0272165134,0.0034072963,0.7041089329,0.0083048236,0.0047097544,0.0126395129,0.0131105701,0.0220947233,0.0084665121
Middle Eastern,0.0330825784,0.0177643529,0.0958644328,0.5967804455,0.0116713281,0.0098180283,1,0.0115192239,0.0128674892,0.0079822723,0.0351925971,0.0232733577,0.0396127802,0.0049724828,0.014196062,0.0020509784,0.1451210187,0.7038693615,0.0556047673,0.015972084,0.1937838965,0.053763848,0.0023196176,0.0133567157,0.0429296126,0.0366884522,0.0050804215,0.003217598,0.8602731825,0.3468170737
Chinese,0.0333028364,0.0350129148,0.0141822258,0.1383586258,0.0382176934,0.0420078787,0.0115192239,1,0.0426717784,0.0502691629,0.0365498708,0.0051774942,0.069595595,0.1144417043,0.0308295034,0.0034882825,0.1450568813,0.0117637877,0.0991539228,0.0163822475,0.2642540876,0.0275165115,0.4341746745,0.0758314664,0.0145294582,0.0171023378,0.5916415593,0.0374168435,0.0249735715,0.0072443407
Brasseries,0.0289006992,0.0684564966,0.0178037862,0.0710099034,0.0323082635,0.0551744686,0.0128674892,0.0426717784,1,0.0272427639,0.043667326,0.0059318733,0.1447913785,0.0165162997,0.0344350093,0.0029727421,0.0839562847,0.0107143507,0.0886087509,0.0342964499,0.025478845,0.0630179367,0.0041162961,0.0480641038,0.0223411595,0.0108964117,0.0226665046,0.0046598253,0.0427888301,0.0375981821
Food Stands,0.0136944931,0.0305135127,0.0043323278,0.0324117151,0.0174785644,0.0265359128,0.0079822723,0.0502691629,0.0272427639,1,0.0690192944,0.0040653791,0.0370043653,0.0463690836,0.0214908614,0.0096511608,0.0395699958,0.0075452019,0.0670082685,0.0050251827,0.0773351575,0.0205102422,0.0084637163,0.0625123953,0.0040923143,0.0040050932,0.0271714684,0.0051103575,0.0131317695,0.0039868723
