imya	number	another
Delhi Palace Cuisine of India	0.916666666667	0.25490098702
The Dhaba	0.911764705882	0.296318978332
India Garden	0.909090909091	0.233805031008
Indian Paradise	0.909090909091	0.335267460983
Tandoori Times 3 Indian Bistro	0.888888888889	0.239346438578
India Grill	0.875	0.303050123318
Flavors of India	0.875	0.214231927505
Dhaba Indian Bistro	0.875	0.294010266354
India Oven	0.871794871795	0.205482110883
Mint Indian Bistro	0.842105263158	0.256266107818
Delhi Indian Cuisine	0.833333333333	0.281641888751
Mount Everest India's Cuisine	0.828125	0.226376993355
Taj Mahal Indian Cuisine	0.823529411765	0.251337661136
Star of India	0.8	0.304142994429
Sutra Fine Indian Cuisine	0.8	0.194076732804
Curry Garden	0.8	0.232892959355
Saffron Flavors of India	0.787878787879	0.206396289024
Taj Palace	0.78125	0.281695492532
Minerva Indian Cuisine	0.75	0.181126490903
Passage To India	0.75	0.345004084967
Royal Taj	0.75	0.242081894179
OM Restaurant	0.75	0.288067174328
Karaikudi Palace	0.75	0.269337643351
Tandoori Times 2 Indian Bistro	0.727272727273	0.272424774748
Namaste Indian Cuisine	0.7	0.202895502532
India Palace	0.679245283019	0.253361134082
Origin India Restaurant & Bar	0.666666666667	0.245824159152
Indian Maharaja Palace	0.625	0.331165190217
Indian Delhi Palace	0.611111111111	0.151031435994
Samosa Factory	0.606060606061	0.293711782914
India's Grill	0.571428571429	0.293398394005
Curry Corner	0.55	0.294392643614
Tandoori Times Indian Bistro	0.545454545455	0.257585708375
Guru Palace	0.45	0.228739278043
Al Hamra	0.4	0.320937547746
Kabob n Kurry	0.4	0.154497374026
Southern Spice	0.4	0.169186294014
Jewel of the Crown	0.4	0.212953363571
India Gate	0.375	0.159390293938
Shalimar Restaurant	0.285714285714	0.311266467874
Maharani Restaurant	0.25	0.191526075977
Haweli Indian Grill & Bar	0.25	0.160437335259
Madras Ananda Bhavan	0.25	0.221490723782
Mayuri Palace	0.0	0.190845574258
Mantra Masala	0.0	0.0196731311233
Indian Curry Bowl	0.0	0.104193512034
