Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Dance Clubs,1,0.1149457896,0.0326412532,0.1342922653,0.1057777916,0.1278782539,0.0963536804,0.1104488035,0.1590869341,0.0843882496,0.0370729179,0.0313221435,0.310146459,0.0529442685,0.1704381525,0.0220905898,0.1349590669,0.0765084245,0.1314175542,0.0642685782,0.1074079812,0.0868952361,0.0215891206,0.1395634025,0.0287907112,0.0302950671,0.0541854586,0.0370966682,0.1188013919,0.0573768506
Tapas Bars,0.1149457896,1,0.0283302342,0.1380205276,0.0663181923,0.0913108566,0.0564748576,0.1286545551,0.2144804931,0.1063635427,0.0469435803,0.0256712757,0.2505611885,0.0654559195,0.2390490731,0.0302466589,0.1535261376,0.054778522,0.1205481533,0.3516648734,0.0918638935,0.0947370924,0.0211783951,0.0858468034,0.0282307385,0.034995215,0.0731184122,0.07279773,0.115259661,0.0465732104
Pakistani,0.0326412532,0.0283302342,1,0.3162162502,0.0194257698,0.0348752783,0.1175041629,0.1183806151,0.0544045613,0.0206398763,0.0223080225,0.0530841957,0.0721268417,0.0316467779,0.0400333747,0.0118058117,0.2588505159,0.0878437221,0.0599052437,0.0262366121,0.1087411291,0.0347233368,0.0102719041,0.0260319766,0.9882400672,0.0235675754,0.0225260082,0.0184977005,0.1020106681,0.0763457416
Vegetarian,0.1342922653,0.1380205276,0.3162162502,1,0.1033977177,0.2560365219,0.5693090113,0.3720259152,0.2215750462,0.168217537,0.077212359,0.0764691434,0.2792269703,0.137876359,0.261508827,0.050525589,0.6874241691,0.4600342907,0.2803889057,0.0828732668,0.4930760624,0.1727492221,0.1036921839,0.2572315259,0.3038635043,0.0739981578,0.1459222351,0.0578013074,0.6252794548,0.3096827351
Food Court,0.1057777916,0.0663181923,0.0194257698,0.1033977177,1,0.0628132576,0.0412660209,0.0834616892,0.1211601238,0.0633908338,0.0521003304,0.0158707758,0.1505707437,0.0748007158,0.0742069846,0.0131841581,0.1116646389,0.0374747581,0.115431791,0.0373932794,0.0667804165,0.0807871616,0.0141503547,0.0495557005,0.0180145898,0.0147636718,0.0358150169,0.0251542279,0.0679538932,0.0302079491
Tex-Mex,0.1278782539,0.0913108566,0.0348752783,0.2560365219,0.0628132576,1,0.0501054642,0.1197805921,0.156259918,0.2275263319,0.0599476339,0.0262059659,0.1403785322,0.1179584916,0.5713079032,0.0552302534,0.230188913,0.0458002051,0.3843722457,0.0432449147,0.3863307601,0.0966177573,0.018211762,0.8606007348,0.0340954647,0.0281248257,0.0356489043,0.0596300268,0.075829962,0.0393560062
Middle Eastern,0.0963536804,0.0564748576,0.1175041629,0.5693090113,0.0412660209,0.0501054642,1,0.0639957794,0.0738348189,0.0372592411,0.0337599226,0.0535858117,0.1283585876,0.026526453,0.0684863825,0.0214756558,0.1955467022,0.7759149275,0.0971861818,0.1149900255,0.2513717824,0.1090810251,0.0146299795,0.0381652192,0.0700632294,0.0707266388,0.0269065477,0.023213499,0.8919665833,0.4767436362
Chinese,0.1104488035,0.1286545551,0.1183806151,0.3720259152,0.0834616892,0.1197805921,0.0639957794,1,0.2017325456,0.1248355472,0.0550533946,0.0420712058,0.2412387612,0.2785545253,0.1511947361,0.0317771322,0.4073749825,0.057227759,0.1842159453,0.069897453,0.4508599121,0.1156162528,0.3295910845,0.1154953409,0.1220680845,0.1120283916,0.6909071914,0.078146686,0.0932867269,0.0540248551
Brasseries,0.1590869341,0.2144804931,0.0544045613,0.2215750462,0.1211601238,0.156259918,0.0738348189,0.2017325456,1,0.1282916517,0.0911572325,0.0465420946,0.3668372627,0.0740218074,0.2086495519,0.0399034685,0.2982397863,0.0737534541,0.2493659093,0.1187276253,0.1544895687,0.1969270527,0.0384357742,0.1110515391,0.0544847623,0.0516453633,0.0999267801,0.0580280648,0.1507012426,0.1165435708
Food Stands,0.0843882496,0.1063635427,0.0206398763,0.168217537,0.0633908338,0.2275263319,0.0372592411,0.1248355472,0.1282916517,1,0.2435372798,0.0214817886,0.1328545144,0.1509678673,0.2377408315,0.0653129441,0.1856798831,0.0391363417,0.391255217,0.0533952253,0.200801174,0.1048085016,0.0324165211,0.2782039075,0.0192002804,0.0253669226,0.0488969458,0.0349442015,0.0640324367,0.0277087652
