Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Dance Clubs,1,0.0742568091,0.0199389361,0.0899339361,0.0617461668,0.0831747933,0.0643622879,0.0744578677,0.0919591091,0.0519947119,0.0263381219,0.0155529254,0.2488896625,0.0313946491,0.0866902782,0.0076169052,0.0826940954,0.0508499764,0.0872978693,0.0319741956,0.0624913139,0.0534805812,0.0133464592,0.0951786689,0.0179296109,0.017310354,0.0368470171,0.0161279228,0.081034775,0.0323842518
Tapas Bars,0.0742568091,1,0.022810081,0.1186931904,0.0506779498,0.0806090004,0.0458088015,0.1068833662,0.1638537706,0.0830399766,0.0424308917,0.0168883474,0.2129747268,0.0542935131,0.191389265,0.0154744172,0.1193995175,0.0457433444,0.1003947177,0.2711944556,0.0657042399,0.0738521054,0.0162926581,0.0820920884,0.0231640044,0.0278552183,0.0614929513,0.0525248675,0.1036805618,0.0322777112
Pakistani,0.0199389361,0.022810081,1,0.3036602902,0.0143743678,0.028728614,0.1092614225,0.0925158029,0.0418182547,0.0159745997,0.0226212641,0.0334225351,0.0564592361,0.023334567,0.0257476017,0.0050790749,0.2395530984,0.0838515963,0.054211783,0.0173205624,0.0815030887,0.0267956274,0.0081144637,0.0224241696,0.9785842307,0.0173658853,0.0196344227,0.0099109858,0.0973299305,0.0671688602
Vegetarian,0.0899339361,0.1186931904,0.3036602902,1,0.0905109732,0.2335155093,0.5463982248,0.332884849,0.1755688065,0.1367482433,0.0745469896,0.0568391878,0.2416202434,0.1130900701,0.1832074525,0.023662139,0.6365833228,0.425413357,0.2552542474,0.0556570789,0.3777337138,0.1471857433,0.0902822892,0.2425284599,0.2978733415,0.055708395,0.1345805922,0.0347573159,0.6039006879,0.254133803
Food Court,0.0617461668,0.0506779498,0.0143743678,0.0905109732,1,0.0518890338,0.0314950031,0.0708679726,0.0861092399,0.0483589502,0.044962001,0.0094072055,0.1184802692,0.063062057,0.0456254158,0.0055807829,0.0851890341,0.0284784631,0.0942832534,0.0229193801,0.0478071814,0.0636544027,0.0103252895,0.0427836911,0.0136426611,0.010188083,0.0310595388,0.0124121272,0.0547266802,0.0199058411
Tex-Mex,0.0831747933,0.0806090004,0.028728614,0.2335155093,0.0518890338,1,0.0419700221,0.1066178683,0.1244329042,0.1829328847,0.0584752988,0.0177479551,0.1188744253,0.0950587806,0.4106038061,0.027171187,0.1921837732,0.0390543554,0.3523069095,0.0298737268,0.2942397139,0.0806725998,0.0151600414,0.8287123724,0.0289519458,0.0208507783,0.0320367809,0.0355445102,0.0669552424,0.0291108115
Middle Eastern,0.0643622879,0.0458088015,0.1092614225,0.5463982248,0.0314950031,0.0419700221,1,0.051779,0.0535519802,0.0286207902,0.0311378064,0.0406023782,0.1023518413,0.0202544568,0.0452514836,0.0093182867,0.1699133276,0.7459808925,0.0859797568,0.0707384326,0.2154142628,0.0907601204,0.0114250376,0.0333233131,0.0638518827,0.052963832,0.0224292313,0.0130028753,0.8712626284,0.4076859068
Chinese,0.0744578677,0.1068833662,0.0925158029,0.332884849,0.0708679726,0.1066178683,0.051779,1,0.1530881543,0.1037476207,0.0521514529,0.0277455165,0.1980516891,0.2381230296,0.1046248161,0.0149749179,0.3449494301,0.0479948278,0.169918668,0.0486103,0.368987511,0.0932857643,0.3273743728,0.1095986191,0.0977757607,0.0870746272,0.6652616601,0.0537485219,0.0806020982,0.0384900099
Brasseries,0.0919591091,0.1638537706,0.0418182547,0.1755688065,0.0861092399,0.1244329042,0.0535519802,0.1530881543,1,0.0919855566,0.0746225127,0.0274622648,0.2873872915,0.0528231189,0.1281570888,0.0167203517,0.2189111785,0.0541068477,0.1973001613,0.0748393293,0.1019439434,0.1497179139,0.027405339,0.0911822275,0.0431779602,0.0340321014,0.0769609895,0.0297765647,0.1196001631,0.0808272281
Food Stands,0.0519947119,0.0830399766,0.0159745997,0.1367482433,0.0483589502,0.1829328847,0.0286207902,0.1037476207,0.0919855566,1,0.2052490734,0.01373182,0.1036870826,0.1187770684,0.1488945212,0.0312635547,0.1418307538,0.030315819,0.3159125949,0.0318308451,0.1560189605,0.0788761451,0.0254353417,0.2357643452,0.0152780882,0.0173937542,0.0423269761,0.0197706374,0.0507354389,0.0185462108
Hot Dogs,0.0263381219,0.0424308917,0.0226212641,0.0745469896,0.044962001,0.0584752988,0.0311378064,0.0521514529,0.0746225127,0.2052490734,1,0.010230713,0.098290644,0.1457657248,0.0532264024,0.014935387,0.0807131357,0.0553912033,0.497945826,0.0163586007,0.0757936685,0.1001565768,0.0156916736,0.0629289465,0.0201901706,0.0102032527,0.0198224964,0.0119238169,0.0575014989,0.0147335813
Ethiopian,0.0155529254,0.0168883474,0.0334225351,0.0568391878,0.0094072055,0.0177479551,0.0406023782,0.0277455165,0.0274622648,0.01373182,0.010230713,1,0.0365269295,0.0101943548,0.0185243035,0.0034162575,0.285673561,0.0210867656,0.0274161685,0.0106760186,0.0439385115,0.018574662,0.0054711545,0.0151921161,0.0332786413,0.0079941198,0.0126935441,0.0064387071,0.0354488674,0.0207542341
Italian,0.2488896625,0.2129747268,0.0564592361,0.2416202434,0.1184802692,0.1188744253,0.1023518413,0.1980516891,0.2873872915,0.1036870826,0.098290644,0.0365269295,1,0.0724614814,0.1421853534,0.0182315038,0.3028700459,0.1118664821,0.2047487233,0.0961880454,0.1427806591,0.2545169849,0.0374357159,0.0939771433,0.0524856616,0.0452417005,0.105069608,0.0435936006,0.2094307989,0.0870463086
Korean,0.0313946491,0.0542935131,0.023334567,0.1130900701,0.063062057,0.0950587806,0.0202544568,0.2381230296,0.0528231189,0.1187770684,0.1457657248,0.0101943548,0.0724614814,1,0.0725493532,0.0096677752,0.1398953395,0.0197883568,0.13165728,0.017196699,0.1434493532,0.0436405593,0.0506056717,0.1298462274,0.0247535603,0.0191405069,0.0982503672,0.0174074128,0.0313231412,0.0146718207
Latin American,0.0866902782,0.191389265,0.0257476017,0.1832074525,0.0456254158,0.4106038061,0.0452514836,0.1046248161,0.1281570888,0.1488945212,0.0532264024,0.0185243035,0.1421853534,0.0725493532,1,0.4848197705,0.1461915759,0.041321264,0.198259209,0.0477534373,0.1878153022,0.067749271,0.0193560838,0.5015800779,0.0252870848,0.0190817876,0.0431481457,0.2039679542,0.0794023106,0.0295184899
Venezuelan,0.0076169052,0.0154744172,0.0050790749,0.023662139,0.0055807829,0.027171187,0.0093182867,0.0149749179,0.0167203517,0.0312635547,0.014935387,0.0034162575,0.0182315038,0.0096677752,0.4848197705,1,0.0265643071,0.0095072911,0.030633035,0.0043255924,0.0197653532,0.0153809371,0.0052158889,0.0331635899,0.0049289474,0.0061219185,0.006142309,0.0199707572,0.0137509711,0.0049186798
Vegan,0.0826940954,0.1193995175,0.2395530984,0.6365833228,0.0851890341,0.1921837732,0.1699133276,0.3449494301,0.2189111785,0.1418307538,0.0807131357,0.285673561,0.3028700459,0.1398953395,0.1461915759,0.0265643071,1,0.1274220113,0.2599983922,0.054266972,0.3087214181,0.1660102885,0.0922242231,0.1698428131,0.2450371499,0.0387044743,0.138914172,0.0353337916,0.2008312822,0.1078598409
Greek,0.0508499764,0.0457433444,0.0838515963,0.425413357,0.0284784631,0.0390543554,0.7459808925,0.0479948278,0.0541068477,0.030315819,0.0553912033,0.0210867656,0.1118664821,0.0197883568,0.041321264,0.0095072911,0.1274220113,1,0.0964707509,0.0548582489,0.1822392594,0.075068453,0.009537858,0.0325967973,0.0234500685,0.0472667359,0.0231504356,0.0120598174,0.8855641063,0.2933648795
Fast Food,0.0872978693,0.1003947177,0.054211783,0.2552542474,0.0942832534,0.3523069095,0.0859797568,0.169918668,0.1973001613,0.3159125949,0.497945826,0.0274161685,0.2047487233,0.13165728,0.198259209,0.030633035,0.2599983922,0.0964707509,1,0.0415639569,0.2210711533,0.2652804547,0.0343090153,0.3650641033,0.050401483,0.0292034409,0.0590824503,0.0341326941,0.1294849646,0.0669039744
Ukrainian,0.0319741956,0.2711944556,0.0173205624,0.0556570789,0.0229193801,0.0298737268,0.0707384326,0.0486103,0.0748393293,0.0318308451,0.0163586007,0.0106760186,0.0961880454,0.017196699,0.0477534373,0.0043255924,0.054266972,0.0548582489,0.0415639569,1,0.046987089,0.0391410575,0.0084815238,0.0280280551,0.0143718808,0.2028891059,0.0293837352,0.0087581567,0.0779085692,0.041418379
Ethnic Food,0.0624913139,0.0657042399,0.0815030887,0.3777337138,0.0478071814,0.2942397139,0.2154142628,0.368987511,0.1019439434,0.1560189605,0.0757936685,0.0439385115,0.1427806591,0.1434493532,0.1878153022,0.0197653532,0.3087214181,0.1822392594,0.2210711533,0.046987089,1,0.1262551569,0.3193389284,0.315890007,0.075519555,0.0538865951,0.1478065313,0.0320122513,0.2096804517,0.1073645185
Delis,0.0534805812,0.0738521054,0.0267956274,0.1471857433,0.0636544027,0.0806725998,0.0907601204,0.0932857643,0.1497179139,0.0788761451,0.1001565768,0.018574662,0.2545169849,0.0436405593,0.067749271,0.0153809371,0.1660102885,0.075068453,0.2652804547,0.0391410575,0.1262551569,1,0.0212565801,0.0642697644,0.0246605101,0.0549535844,0.0335025017,0.0186164249,0.1036272356,0.0652120762
Vietnamese,0.0133464592,0.0162926581,0.0081144637,0.0902822892,0.0103252895,0.0151600414,0.0114250376,0.3273743728,0.027405339,0.0254353417,0.0156916736,0.0054711545,0.0374357159,0.0506056717,0.0193560838,0.0052158889,0.0922242231,0.009537858,0.0343090153,0.0084815238,0.3193389284,0.0212565801,1,0.0147872267,0.0078465658,0.0083389212,0.1944954735,0.0100486785,0.0154151141,0.007258223
Mexican,0.0951786689,0.0820920884,0.0224241696,0.2425284599,0.0427836911,0.8287123724,0.0333233131,0.1095986191,0.0911822275,0.2357643452,0.0629289465,0.0151921161,0.0939771433,0.1298462274,0.5015800779,0.0331635899,0.1698428131,0.0325967973,0.3650641033,0.0280280551,0.315890007,0.0642697644,0.0147872267,1,0.0220363761,0.0158520324,0.0312565867,0.051074046,0.0526854839,0.0214182524
Indian,0.0179296109,0.0231640044,0.9785842307,0.2978733415,0.0136426611,0.0289519458,0.0638518827,0.0977757607,0.0431779602,0.0152780882,0.0201901706,0.0332786413,0.0524856616,0.0247535603,0.0252870848,0.0049289474,0.2450371499,0.0234500685,0.050401483,0.0143718808,0.075519555,0.0246605101,0.0078465658,0.0220363761,1,0.0123741335,0.0187967582,0.0099880289,0.0447439243,0.049844976
Russian,0.017310354,0.0278552183,0.0173658853,0.055708395,0.010188083,0.0208507783,0.052963832,0.0870746272,0.0340321014,0.0173937542,0.0102032527,0.0079941198,0.0452417005,0.0191405069,0.0190817876,0.0061219185,0.0387044743,0.0472667359,0.0292034409,0.2028891059,0.0538865951,0.0549535844,0.0083389212,0.0158520324,0.0123741335,1,0.0357699773,0.0098651533,0.0555065677,0.0472153294
Cantonese,0.0368470171,0.0614929513,0.0196344227,0.1345805922,0.0310595388,0.0320367809,0.0224292313,0.6652616601,0.0769609895,0.0423269761,0.0198224964,0.0126935441,0.105069608,0.0982503672,0.0431481457,0.006142309,0.138914172,0.0231504356,0.0590824503,0.0293837352,0.1478065313,0.0335025017,0.1944954735,0.0312565867,0.0187967582,0.0357699773,1,0.020753315,0.037547642,0.0203832102
Peruvian,0.0161279228,0.0525248675,0.0099109858,0.0347573159,0.0124121272,0.0355445102,0.0130028753,0.0537485219,0.0297765647,0.0197706374,0.0119238169,0.0064387071,0.0435936006,0.0174074128,0.2039679542,0.0199707572,0.0353337916,0.0120598174,0.0341326941,0.0087581567,0.0320122513,0.0186164249,0.0100486785,0.051074046,0.0099880289,0.0098651533,0.020753315,1,0.0202110472,0.0098194981
Mediterranean,0.081034775,0.1036805618,0.0973299305,0.6039006879,0.0547266802,0.0669552424,0.8712626284,0.0806020982,0.1196001631,0.0507354389,0.0575014989,0.0354488674,0.2094307989,0.0313231412,0.0794023106,0.0137509711,0.2008312822,0.8855641063,0.1294849646,0.0779085692,0.2096804517,0.1036272356,0.0154151141,0.0526854839,0.0447439243,0.0555065677,0.037547642,0.0202110472,1,0.3677551055
Turkish,0.0323842518,0.0322777112,0.0671688602,0.254133803,0.0199058411,0.0291108115,0.4076859068,0.0384900099,0.0808272281,0.0185462108,0.0147335813,0.0207542341,0.0870463086,0.0146718207,0.0295184899,0.0049186798,0.1078598409,0.2933648795,0.0669039744,0.041418379,0.1073645185,0.0652120762,0.007258223,0.0214182524,0.049844976,0.0472153294,0.0203832102,0.0098194981,0.3677551055,1
