Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Dance Clubs,1,0.1350205763,0.0291645353,0.1931953574,0.1141739461,0.1334256658,0.1177351268,0.1216380181,0.1186229482,0.0678695278,0.1065971382,0.0327666655,0.2697928779,0.0435413631,0.1046424034,0.0125640077,0.1072728298,0.1233502751,0.1646732349,0.0617953279,0.0763079536,0.1461653913,0.0720221721,0.1422734699,0.0243106954,0.0594147962,0.066698738,0.0169473986,0.211559147,0.0228394835
Tapas Bars,0.135020571,1,0.0417942474,0.2125455275,0.0810456713,0.1068703637,0.1138676917,0.1367600014,0.2005214674,0.0842047787,0.1071213606,0.0259263512,0.331064025,0.0604168424,0.2303278666,0.026721418,0.1561251241,0.1398448831,0.1527927299,0.2566890288,0.0820444185,0.3010499799,0.0689371729,0.1434700208,0.0348453497,0.0844167613,0.0904678647,0.0475870209,0.2800138973,0.0344524651
Pakistani,0.0291645368,0.0417942512,1,0.4043931199,0.030174833,0.0395148218,0.1367394657,0.0561246682,0.0628697974,0.0243657971,0.0366179143,0.0140131569,0.064480301,0.0250307691,0.0309164571,0.0061202247,0.2043907875,0.1002338413,0.0883877813,0.0389496708,0.0410527076,0.0804671864,0.0333387297,0.0312442257,0.9866676022,0.0777618845,0.0591658921,0.0091273369,0.1479847477,0.0878311566
Vegetarian,0.1931953608,0.2125455397,0.4043931059,1,0.1489647008,0.3304293015,0.4200332716,0.354882076,0.2493994873,0.1427866315,0.2298035942,0.0798543492,0.3459998425,0.1413309716,0.2178236161,0.0395818248,0.8611239776,0.4340204863,0.3918365915,0.1360648657,0.2745072294,0.3554116641,0.2409017255,0.3299334778,0.4028372552,0.3048872807,0.1891040308,0.0543041343,0.5531714256,0.1637800992
Food Court,0.1141739398,0.0810456699,0.0301748298,0.1489646898,1,0.0887586785,0.0732865647,0.0748159278,0.0752683084,0.0476535352,0.0849821235,0.0250977115,0.1140828394,0.04941208,0.063956015,0.0034779447,0.0893434419,0.0694324474,0.1096139631,0.0353657666,0.0452485601,0.1089595148,0.0503926885,0.071513555,0.0261695077,0.0209444566,0.0208747161,0.0049031073,0.1200741321,0.0082762871
Tex-Mex,0.1334256663,0.1068703683,0.0395148199,0.3304292968,0.0887586837,1,0.1027403131,0.1500719458,0.1510670444,0.0943305725,0.1769070503,0.0239512732,0.1708769235,0.0734767175,0.2904683253,0.0421879577,0.1922121348,0.1442619179,0.3310872603,0.0733950863,0.1487762997,0.2234551518,0.061786642,0.6903591156,0.0340885913,0.0642262918,0.0797170757,0.0496852913,0.2109780618,0.0561028299
Middle Eastern,0.1177351329,0.113867702,0.1367394656,0.4200332858,0.0732865726,0.102740318,1,0.1303052531,0.1214911385,0.0648067924,0.1268078881,0.0407353842,0.1530708591,0.0727436621,0.0788093904,0.0095718208,0.1923987313,0.7976428564,0.201017403,0.1264967957,0.2334040326,0.1959351893,0.087477531,0.0831301233,0.1060924322,0.6777146047,0.0795781842,0.0281464961,0.8331095703,0.2948144287
Chinese,0.1216380133,0.1367600013,0.056124663,0.3548820556,0.074815929,0.1500719393,0.1303052412,1,0.1157694698,0.1229239225,0.1273246116,0.0312636679,0.1767962217,0.2190044026,0.0998061532,0.0227832137,0.2499516193,0.1468754232,0.2702394336,0.0673865753,0.300411277,0.1810007078,0.3340968544,0.1805041973,0.0467896271,0.0807883766,0.568548043,0.0284167092,0.1979646049,0.0593466693
Brasseries,0.1186229486,0.2005214761,0.0628697943,0.2493994838,0.0752683129,0.1510670445,0.1214911327,0.1157694749,1,0.0701009324,0.113851744,0.0459265768,0.2561267787,0.0648963345,0.127119091,0.0107087884,0.1916365861,0.1290133713,0.1795819624,0.0760448822,0.0849969967,0.2316355015,0.0742294409,0.1100016051,0.0585861582,0.0551703427,0.0563030916,0.0154323974,0.2644453564,0.1091335971
Food Stands,0.0678695315,0.0842047866,0.0243657972,0.1427866367,0.0476535405,0.0943305773,0.0648067926,0.122923934,0.070100936,1,0.1571253507,0.0151733075,0.09650815,0.0948638677,0.06516589,0.0128580024,0.1098242798,0.0750349169,0.1948113733,0.0483891893,0.1311367815,0.1437727017,0.0545069572,0.1416977502,0.022012488,0.0392484322,0.060449871,0.015571907,0.1047991532,0.0173517143
