http www 458
made feel 375
didn care 364
long time 335
biz photos 327
drink order 321
make reservation 314
don care 311
made reservations 305
long wait 291
made reservation 279
bottom line 269
asked wanted 260
didn feel 258
wait staff 239
credit card 237
gift card 228
wait table 223
didn order 217
don wrong 211
wait back 203
seated immediately 194
call ahead 193
don mind 192
decided order 192
make reservations 192
wait long 183
didn eat 182
don remember 175
don expect 170
don eat 169
seated promptly 164
asked server 163
wait time 162
didn make 160
didn mind 160
don understand 158
table ready 157
drink orders 156
asked waiter 152
left overs 148
make feel 146
brought table 143
don order 142
save money 140
sonny boy 140
don forget 137
couldn finish 137
wanted order 136
attention detail 135
server brought 133
gift certificate 126
didn taste 124
made order 124
seated quickly 123
taking order 122
don feel 122
didn bother 120
didn wait 119
brought back 118
ahead time 117
don bother 117
finally made 117
spend money 116
bus boy 113
mind blowing 113
couldn eat 111
sat table 110
didn expect 106
waiter brought 105
home made 105
ended ordering 104
make point 103
entire meal 98
waiting table 97
didn realize 97
order counter 96
taking care 95
didn finish 94
worth wait 94
ready order 94
told server 93
wouldn order 91
send back 91
called order 91
finally seated 88
waiter told 88
don worry 87
waste time 87
amount time 86
asked waitress 86
pay attention 85
back kitchen 84
los angeles 84
server told 84
didn offer 84
waste money 84
hard time 84
people waiting 83
put order 82
left feeling 81
seated table 81
called ahead 81
told waiter 81
told wait 79
worth money 78
didn leave 77
wait line 77
didn enjoy 77
make home 76
people don 76
promptly seated 75
don make 75
entire time 75
start finish 75
couldn wait 75
waitress brought 74
felt rushed 73
felt bad 73
stopped table 72
saving grace 72
asked manager 72
owner manager 72
don reservations 71
waited long 71
people working 71
called back 71
hostess stand 71
left desired 71
didn notice 70
didn matter 70
call back 70
feel bad 69
order wrong 69
general manager 69
didn give 68
end meal 68
manager owner 68
waiter asked 67
part meal 66
thing noticed 66
delivery time 66
waiting line 66
server asked 66
finished meal 66
long story short 66
young lady 65
finally arrived 65
waitress told 64
told waitress 64
left hungry 64
order drinks 64
don wait 64
couldn find 62
smile face 62
separate checks 62
wait seated 61
wrong order 61
ll back 60
answered questions 60
asked check 60
taking orders 60
wanted eat 60
corkage fee 60
making reservation 59
sitting table 58
drink refills 58
coming back 58
ended eating 58
walked door 58
brought home 58
sense humor 58
didn disappoint 58
don waste time 58
answer questions 58
wouldn mind 58
phone call 57
didn find 57
couldn decide 57
made point 57
order ready 56
front door 56
waiting long 56
didn wait long 56
decided leave 56
pick order 55
make mistake 55
don give 55
paying attention 55
credit cards 55
caught eye 55
made mistake 55
money back 54
reservation time 54
made scratch 54
due fact 54
eye contact 53
takes time 53
gave free 53
kitchen staff 53
guy counter 53
makes feel 53
table side 53
arrived table 52
makes sense 51
thing didn 51
finished eating 51
didn check 51
bring table 51
delivery driver 51
answered phone 51
order delivery 51
started eating 51
felt eating 50
wait longer 50
order dessert 50
didn pay 50
delivery guy 50
immediately seated 50
placing order 49
don put 49
told didn 49
lot money 48
server nice 48
don mind paying 48
waited table 48
write home 48
cell phone 48
didn happen 47
call order 47
wasn bad 47
young man 47
back room 47
phone number 47
taking long 47
spending money 47
didn work 47
prepared wait 46
people work 46
hard find 46
long waits 46
didn understand 46
ended taking 46
asked speak manager 46
don serve 45
brought check 45
long line 45
asked questions 45
speak manager 45
waiter recommended 45
back time 44
made experience 44
put table 44
immediately greeted 44
table seated 44
didn live 44
waiter suggested 44
wise guy 44
pay bill 44
back home 44
care customers 44
left wanting 44
nice guy 44
forgot mention 44
didn bring 43
couldn make 43
extremely rude 43
give credit 43
won back 43
left full 43
told manager 43
chef owner 42
walked table 42
paid bill 42
greeted server 42
don judge 42
online ordering 42
order online 42
hostess told 42
expect wait 42
spend time 42
doesn matter 42
wouldn back 42
couldn resist 42
worst part 42
spoke manager 42
matter fact 41
wanted make 41
cash register 41
friend told 41
didn blow 41
didn chance 41
lady fingers 41
free meal 41
hostess station 41
people eating 40
bring back 40
didn mention 40
wasn busy 40
hand made 40
didn charge 40
walked past 40
put hold 40
waitress asked 40
bit longer 40
leave hungry 39
wanted drink 39
treat customers 39
finish meal 39
waiter waitress 39
ready leave 39
don leave 39
left satisfied 39
time money 39
didn complain 39
rolled eyes 39
delivered table 39
closing time 39
put finger 38
dirty dishes 38
waiter gave 38
knew wanted 38
server recommended 38
making reservations 38
couldn hear 38
couldn taste 38
person table 38
forgot bring 38
server forgot 37
asked needed 37
wanted sit 37
bring home 37
line door 37
don recall 37
steer clear 37
short time 37
time eating 37
guy fieri 37
made care 37
brought drinks 37
open table 37
doesn make 36
make sense 36
wanted dessert 36
gift cards 36
rest meal 36
short wait 36
don offer 36
web site 36
quickly seated 36
split checks 36
coming kitchen 35
simply put 35
order pick 35
decide order 35
save room 35
wanted leave 35
walk door 35
asked extra 35
expect pay 35
greeted warmly 35
plates cleared 35
walked restaurant 35
waitress nice 34
lot people 34
entire table 34
ha ha 34
don pay 34
waited forever 34
waste time money 34
don waste money 34
server suggested 34
left disappointed 34
restaurant busy 34
sat immediately 34
asked hostess 34
moment walked 34
girl counter 33
greeted promptly 33
owner wife 33
decided check 33
told wanted 33
don deliver 33
entire restaurant 33
left lot desired 33
short staffed 33
didn stop 33
don antonio 33
money worth 32
leave full 32
bad thing 32
reason didn 32
boy wrong 32
takes order 32
dirty plates 32
waiting seated 32
warmly greeted 32
repeat customers 32
greeted door 32
greeted owner 32
forgot put 32
ended leaving 32
hostess asked 32
eye candy 32
manager apologized 32
didn hear 32
front desk 32
manager told 31
takes longer 31
wasn ready 31
paid attention 31
brought water 31
ll make 31
greeted immediately 31
decided split 31
waiters waitresses 31
messed order 31
don blame 31
explained menu 31
front house 30
bring check 30
weren busy 30
served quickly 30
hit table 30
single thing 30
minute wait 30
asked box 30
hard make 30
left plate 30
sit eat 30
ended paying 30
big mistake 30
hostess seated 30
server named 30
give chance 30
talk manager 30
empty plates 30
fit bill 29
funny thing 29
single person 29
entire thing 29
doesn bother 29
split bill 29
completely satisfied 29
waiter nice 29
finally found 29
open kitchen 29
arm leg 29
owner chef 29
extra mile 29
asked sit 29
brought wrong 29
completely empty 29
bad day 29
bartender server 29
valvona crolla 29
hard mess 28
staff rude 28
wouldn call 28
waited long time 28
didn catch 28
making feel 28
doesn care 28
plan ahead 28
remember called 28
stop eating 28
amount money 28
finally brought 28
kids meal 28
visited table 28
looked menu 28
dessert menu 28
asked wanted drink 28
reason gave 28
open mind 28
leave tip 28
ordering process 28
glad didn 28
leaves desired 27
finally decided 27
don afraid 27
made decision 27
make things 27
feel rushed 27
pay extra 27
couldn happier 27
don waste time money 27
made feel home 27
paying bill 27
decided give 27
ended waiting 27
server explained 27
round table 27
caught attention 27
couldn stop eating 27
asked leave 27
words describe 26
brought bread 26
server offered 26
asked move 26
told sit 26
add insult injury 26
offered free 26
make happy 26
free dessert 26
front counter 26
extra charge 26
plenty time 26
make feel home 26
host stand 26
bring drinks 26
shown table 26
received bill 26
thing notice 26
pre made 26
ready eat 26
false advertising 25
approached table 25
arrived quickly 25
worth waiting 25
left bad taste mouth 25
flag waiter 25
don skimp 25
waiter asked wanted 25
order correct 25
don fooled 25
didn stay 25
opened box 25
totally worth 25
wanted give 25
wasn case 25
restaurant empty 25
leave feeling 25
owner rude 25
guy working 25
word mouth 25
kind weird 25
found odd 25
told needed 25
blow mind 25
make mind 25
wasn fault 25
felt sick 25
sitting counter 25
sit table 25
gave chance 25
ended meal 25
money spent 25
stand line 25
made sense 24
sending back 24
ordered delivery 24
hard eat 24
don mind waiting 24
couldn stop 24
offered bring 24
sat waited 24
phone order 24
asked ready order 24
sitting waiting 24
longer expected 24
didn receive 24
hard earned money 24
make decision 24
hell kitchen 24
hard working 24
asked bartender 24
greeted seated 24
kick ass 24
waiter forgot 24
cleaned plates 24
made eye contact 24
spent money 24
made comment 24
delivery charge 24
waiter rude 24
wasn feeling 24
changed mind 24
made effort 23
treated poorly 23
empty tables 23
difficult eat 23
flag server 23
wasn problem 23
manager offered 23
minute walk 23
display case 23
entire party 23
make eye contact 23
pun intended 23
sort thing 23
helped make 23
reason back 23
split check 23
minutes server 23
type person 23
make matters worse 23
set table 23
thought give 23
bus boys 23
taking home 23
called manager 23
refill drinks 23
young girl 23
wouldn eat 23
spent time 23
server informed 22
time ate 22
finished meals 22
thought weird 22
charge extra 22
line long 22
people complain 22
takes forever 22
waiting tables 22
bring water 22
dropped check 22
fairly quickly 22
didn apologize 22
bad attitude 22
kind guy 22
server drink order 22
felt welcomed 22
completely forgot 22
started meal 22
feel home 22
made sick 22
weren hungry 22
watch make 22
delivery fee 22
recommended server 22
brought attention 22
brought bill 22
couldn understand 22
waiter explained 22
doesn make sense 22
finally received 21
empty restaurant 21
didn match 21
single time 21
barely eat 21
lost customer 21
trouble finding 21
weren bad 21
taking drink orders 21
fat tire 21
rest assured 21
fine print 21
decided eat 21
kind money 21
clear plates 21
calling ahead 21
rock hard 21
charged extra 21
reserved table 21
finally showed 21
empty stomach 21
make difference 21
dont care 21
hard rock 21
finishing meal 21
bit odd 21
wasn hungry 21
clear table 21
working kinks 21
people line 20
waited waited 20
doesn sound 20
truth told 20
don spend 20
stuffing face 20
helped pick 20
blew mind 20
decided wanted 20
requested table 20
asked wanted dessert 20
amount people 20
didnt care 20
didn wow 20
asked question 20
guess expected 20
older man 20
waiter checked 20
coupon free 20
table set 20
order taker 20
thought odd 20
bring cash 20
understand busy 20
manager apologize 20
felt needed 20
prepared spend 20
ate thing 20
full meal 20
wasting time 20
regular customers 20
gave shot 20
arrived early 20
people complaining 20
friend ordered 20
tables seated 20
gave extra 20
made difference 20
don plan 20
met owner 20
couldn figure 20
sitting long 20
time ll 20
walked greeted 20
knew stuff 20
barely touched 20
extra money 19
hold candle 19
hostess sat 19
apologized wait 19
lost business 19
pain ass 19
totally forgot 19
people coming 19
served promptly 19
wanted check 19
leaves lot desired 19
put names 19
refill water 19
learned lesson 19
blah blah 19
cleared plates 19
water refilled 19
long periods 19
started ordering 19
bit desired 19
comped meal 19
young guy 19
waitress recommended 19
greeted hostess 19
empty table 19
asked moved 19
corking fee 19
person working 19
young woman 19
hard hear 19
paid cash 19
expense account 19
paying customers 19
didn impress 19
promptly greeted 19
older gentleman 19
explained situation 19
manager duty 19
washing hands 19
ordered drinks 19
end result 19
rest party 19
handed menus 19
entrees arrived 19
free drink 19
hard screw 18
incredibly rude 18
ll save 18
enjoy meal 18
positive note 18
front restaurant 18
ordering online 18
takes care 18
stole show 18
couldn nicer 18
drinks refilled 18
loyal customers 18
gift certificates 18
answer question 18
lets start 18
wash hands 18
caught guard 18
wait long time 18
ordered online 18
finally chance 18
debit card 18
health department 18
owner talked 18
finally flagged 18
pay cash 18
short notice 18
asked drink 18
lesson learned 18
questions menu 18
arrived shortly 18
room dessert 18
asked refill 18
step foot 18
started talking 18
person phone 18
house made 18
spending time 18
small plates 18
business owner 18
work hard 17
didn skimp 17
find seat 17
spoke owner 17
greeted smile 17
refills drinks 17
order appetizer 17
server apologized 17
bring bread 17
