imya	number	another
Ferraro's  Restaurant & Wine Bar	0.952380952381	0.346948442016
Parma By Chef Marc	0.941176470588	0.294841473842
Nora's Cuisine	0.9375	0.253638464269
Giuseppe's On 28th	0.923076923077	0.280340113581
Marcellino Ristorante	0.916666666667	0.377295784656
Alessia's Ristorante Italiano	0.909090909091	0.308597338974
Wolfgang Puck Pizzeria & Cucina	0.888888888889	0.428935070524
Rao's	0.888888888889	0.303816126281
La Stalla Cucina Rustica	0.875	0.321946949497
Giada	0.875	0.387241718242
Harley's Italian Bistro	0.875	0.267547713209
Montesano's Eateria	0.875	0.250670889415
Tutti Santi by Nina	0.875	0.398077025157
Vin Santo	0.875	0.255591459464
The Parlor	0.869565217391	0.3108127394
Luna Rossa	0.857142857143	0.342446073153
Pizza a Metro	0.857142857143	0.210075896631
Trattoria Nakamura-Ya	0.857142857143	0.287549733021
Buon Gusto Ristorante	0.857142857143	0.281397127905
Fiamma Trattoria & Bar	0.85	0.324449782315
Pomo Pizzeria Napoletana	0.838709677419	0.335810851462
Maggiano's Little Italy	0.838709677419	0.2885599406
Casa Di Amore	0.833333333333	0.232002617822
Olive Garden Italian Restaurant	0.833333333333	0.235050555567
Basil & Garlic Bistro	0.833333333333	0.367937689217
Ristorante Giuseppe	0.833333333333	0.219960472348
D.O.C.G. Enoteca	0.833333333333	0.285180247305
The Bootlegger Bistro	0.833333333333	0.304730250797
Dom DeMarco's Pizzeria & Bar	0.833333333333	0.277081401256
Circo	0.8125	0.296404663804
Siena Italian Authentic Trattoria and Deli	0.8	0.294923451721
La Scala	0.8	0.245722620526
Joe Vicari's Andiamo Italian Steakhouse	0.8	0.327808221107
Bobby's Restaurant and Jazz Lounge	0.8	0.360560298867
Cafe Porta Alba	0.8	0.308113687783
Carnevino	0.8	0.439467218137
Local Bistro	0.8	0.324345645329
Bratalian Neapolitan Cantina	0.8	0.242551934502
Grotto Ristorante	0.8	0.37307792377
LAVO Italian Restaurant & Lounge	0.785714285714	0.293201204753
Brio Tuscan Grille	0.782608695652	0.377188993187
Buddy V's Ristorante	0.769230769231	0.32961392613
Mamma Mia Brick Oven Pizza & Pasta	0.75	0.203409585206
Tesoro Ristorante Italiano	0.75	0.301652056583
Salute Ristorante Italiano	0.75	0.332391678262
Spaghetty Western	0.75	0.215962380011
Cugino's Italian Deli	0.75	0.216952186669
Valentino	0.75	0.360922151093
Due Forni	0.75	0.329737143065
Tutti Santi By Nina	0.75	0.324303355299
Biaggi's Ristorante Italiano	0.75	0.165321800595
Pomo Pizzeria Napoletana - Scottsdale	0.75	0.426128038628
La Bona Pasta	0.75	0.286821204176
New York's Best Italian Bistro	0.75	0.321021797058
Pasta Brioni	0.75	0.293946701943
Lombardinos Italian Restaurant and Bar	0.75	0.252805284993
Pasta Shop Ristorante	0.75	0.40340820144
Carmine's	0.75	0.206201854458
Gaetano's Ristorante	0.727272727273	0.348211021304
North Italia	0.727272727273	0.395742323937
Tommy V's Urban Kitchen & Bar	0.7	0.405640761941
Avanti	0.666666666667	0.284599317666
Mastrioni's	0.625	0.289600378618
Trattoria Reggiano	0.625	0.293966802884
Carrabba's Italian Grill	0.625	0.353242566631
La Calabria Ristorante	0.625	0.340253549987
Caffe Boa	0.625	0.229443263923
Canaletto	0.615384615385	0.278877985597
VinciTorio's Restaurant	0.588235294118	0.320010497217
Tutti Santi Ristorante Italiano	0.571428571429	0.271334357705
Stratta	0.571428571429	0.302516536232
Lupo	0.5	0.276660933241
Va Bene	0.5	0.342896442024
Veneto Trattoria	0.5	0.32217666201
Sirio Ristorante	0.5	0.327892131017
Babbo Italian Eatery	0.5	0.330039061378
Bacio	0.5	0.331911665196
SOLO Trattoria	0.5	0.267511788603
Buca di Beppo	0.470588235294	0.179880046973
Il Mulino	0.444444444444	0.252564840402
Taggia	0.4	0.26331027376
Roma Garden Ristorante	0.4	0.162078957467
Defalco's Italian Grocery	0.4	0.250411392453
Tiramisu Ristorante	0.4	0.195729115426
Mezzo Bistro and Wine	0.4	0.257425013424
Pasta Cucina	0.4	0.297312905167
Vittoria	0.4	0.324296543804
Caffe Boa Ahwatukee	0.4	0.228066976301
Panevino Restaurant	0.4	0.341215701152
Gasper's Casual Italian Dining and Pizzeria	0.3	0.258648196798
Italian Grotto	0.3	0.305765061521
Trevi	0.285714285714	0.333186303138
Bunky's Cafe	0.285714285714	0.390016305619
Martorano's	0.25	0.242623827117
Gina's Bistro	0.25	0.217883960658
Terra Rossa	0.25	0.144617443568
Nick's	0.25	0.291192533263
Sergio's Italian Gardens	0.25	0.275081741898
Bella Luna Ristorante	0.25	0.307733395733
Miele's Italian Bistro	0.166666666667	0.348340741022
B&B Ristorante	0.166666666667	0.28294743446
Lucio Ristorante	0.166666666667	0.274766685905
Don Vito's	0.166666666667	0.293273588503
Ventano Italian Grill & Seafood	0.0	0.229708165516
Uncle Sal's Italian Restaurant	0.0	0.222113967055
Tintoretto Restaurant and Bakery	0.0	0.296654761905
Zeffirino	0.0	0.233917918601
